Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
GO_bp	GO_INFLAMMATORY_RESPONSE	194	22	1.0432471281457733e-09	7.667866391871433e-06	GATA3:IL4R:ALOX15:GPX4:IL1R1:IL1RL2:IL1RL1:IL18R1:IL18RAP:IL5RA:CD200:CD200R1:TLR6:IL2:TSLP:CAMK4:IL5:TNIP1:IL6:CCL24:JAK2:IL33	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_INFLAMMATORY_RESPONSE
GO_bp	GO_CYTOKINE_PRODUCTION	233	23	6.479068550443936e-09	2.3810576922881468e-05	GATA3:KAT5:LRRC32:ELF1:GPR18:SOCS1:IL4R:POLR2E:CLC:IL1R1:IL1RL2:IL1RL1:IL18R1:IL18RAP:IL5RA:CD200:CD200R1:TLR6:IL2:TSLP:IL6:JAK2:IL33	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CYTOKINE_PRODUCTION
GO_bp	GO_REGULATION_OF_INFLAMMATORY_RESPONSE	101	15	1.60100199917862e-08	3.922454897987619e-05	GATA3:GPX4:IL1R1:IL1RL2:IL1RL1:CD200:CD200R1:TLR6:IL2:TSLP:TNIP1:IL6:CCL24:JAK2:IL33	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_INFLAMMATORY_RESPONSE
GO_bp	GO_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE	36	9	1.3671532855998588e-07	0.00023866195041592588	IL1RL1:TLR6:IL2:TSLP:TNIP1:IL6:CCL24:JAK2:IL33	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE
GO_bp	GO_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	471	31	1.8578924392356495e-07	0.00023866195041592588	JAK1:GATA3:LMO2:LRRC32:ELF1:GPR18:GPR183:SOCS1:IL4R:ALOX15:CLC:BAX:IL1R1:IL1RL2:IL1RL1:IL18R1:IL18RAP:ACVR2A:GCSAM:CD200:CD200R1:TLR6:IL2:TSLP:CAMK4:IL5:TNIP1:IL6:CCL24:JAK2:IL33	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_IMMUNE_SYSTEM_PROCESS
GO_bp	GO_CYTOKINE_MEDIATED_SIGNALING_PATHWAY	237	21	2.1575382259637687e-07	0.00023866195041592588	JAK1:GATA3:ELF1:SOCS1:IL4R:ALOX15:IL1R1:IL1RL2:IL1RL1:IL18R1:IL18RAP:STAT4:IL5RA:IL2:TSLP:IL5:IL6:CCL24:JAK2:IL33:TNFSF8	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CYTOKINE_MEDIATED_SIGNALING_PATHWAY
GO_bp	GO_CELL_ACTIVATION	399	28	2.2729709563421513e-07	0.00023866195041592588	GATA3:APBB1IP:LRRC32:GPR18:GPR183:CRTC3:SOCS1:IL4R:SERPINB12:CLC:BAX:ADRA2B:ASTL:IL1RL2:IL1RL1:IL18R1:IL18RAP:GLB1:CD200:TLR6:IL2:TSLP:CAMK4:IL5:IL6:JAK2:IL33:TNFSF8	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CELL_ACTIVATION
GO_bp	GO_T_CELL_CYTOKINE_PRODUCTION	13	6	3.004137530623314e-07	0.000276005135626017	GATA3:CLC:IL1R1:IL18R1:IL18RAP:IL6	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_T_CELL_CYTOKINE_PRODUCTION
GO_bp	GO_ALPHA_BETA_T_CELL_DIFFERENTIATION	40	9	3.654369907746758e-07	0.0002984402091326519	GATA3:GPR18:GPR183:SOCS1:IL4R:IL18R1:IL2:IL6:TNFSF8	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_ALPHA_BETA_T_CELL_DIFFERENTIATION
GO_bp	GO_CD4_POSITIVE_ALPHA_BETA_T_CELL_CYTOKINE_PRODUCTION	8	5	4.492687419458046e-07	0.0003302125253301664	GATA3:IL1R1:IL18R1:IL18RAP:IL6	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CD4_POSITIVE_ALPHA_BETA_T_CELL_CYTOKINE_PRODUCTION
GO_bp	GO_ADAPTIVE_IMMUNE_RESPONSE	113	14	5.126122233535725e-07	0.0003425181674226143	GATA3:GPR183:IL4R:ALOX15:CLC:IL1R1:IL1RL1:IL18R1:IL18RAP:IL2:CAMK4:IL6:JAK2:IL33	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_ADAPTIVE_IMMUNE_RESPONSE
GO_bp	GO_REGULATION_OF_CELL_ACTIVATION	169	17	5.990471199921094e-07	0.000366916360995167	GATA3:LRRC32:GPR183:SOCS1:IL4R:CLC:IL1RL2:IL1RL1:CD200:TLR6:IL2:TSLP:CAMK4:IL5:IL6:JAK2:IL33	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_CELL_ACTIVATION
