,Category,GeneSet,N_genes,N_overlap,p,adjP,genes,link,corrected_P
0,GO_bp,GO_CHROMATIN_ASSEMBLY,62,31,2.342683471315328e-22,1.7218723514167662e-18,HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H2BC:HIST1H1E:HIST1H2BD:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2BJ:HIST1H2BK:HIST1H2BL:HIST1H2BN:HIST1H1B:HIST1H3I:HIST1H3J:HIST1H2BO,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CHROMATIN_ASSEMBLY,3.960306408258562e-17
1,GO_bp,GO_NUCLEOSOME_ORGANIZATION,71,31,3.933560920251694e-20,1.4455836381924976e-16,HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H2BC:HIST1H1E:HIST1H2BD:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2BJ:HIST1H2BK:HIST1H2BL:HIST1H2BN:HIST1H1B:HIST1H3I:HIST1H3J:HIST1H2BO,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_NUCLEOSOME_ORGANIZATION,3.3248423678427445e-15
2,GO_bp,GO_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY,78,31,1.1337624417691151e-18,2.7777179823343318e-15,HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H2BC:HIST1H1E:HIST1H2BD:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2BJ:HIST1H2BK:HIST1H2BL:HIST1H2BN:HIST1H1B:HIST1H3I:HIST1H3J:HIST1H2BO,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY,6.388751359368963e-14
3,GO_bp,GO_DNA_PACKAGING,81,31,4.1990825407963095e-18,7.715814168713218e-15,HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H2BC:HIST1H1E:HIST1H2BD:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2BJ:HIST1H2BK:HIST1H2BL:HIST1H2BN:HIST1H1B:HIST1H3I:HIST1H3J:HIST1H2BO,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_DNA_PACKAGING,1.7746372588040402e-13
4,GO_bp,GO_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION,99,31,3.139992224214774e-15,4.615788569595719e-12,HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H2BC:HIST1H1E:HIST1H2BD:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2BJ:HIST1H2BK:HIST1H2BL:HIST1H2BN:HIST1H1B:HIST1H3I:HIST1H3J:HIST1H2BO,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION,1.0616313710070154e-10
5,GO_bp,GO_DNA_CONFORMATION_CHANGE,103,31,1.0871802135247128e-14,1.3317957615677731e-11,HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H2BC:HIST1H1E:HIST1H2BD:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2BJ:HIST1H2BK:HIST1H2BL:HIST1H2BN:HIST1H1B:HIST1H3I:HIST1H3J:HIST1H2BO,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_DNA_CONFORMATION_CHANGE,3.063130251605878e-10
6,GO_bp,GO_DNA_REPLICATION_DEPENDENT_NUCLEOSOME_ORGANIZATION,18,14,1.422274273743783e-14,1.4933879874309723e-11,HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H3C:HIST1H4C:HIST1H4D:HIST1H3D:HIST1H4E:HIST1H3E:HIST1H3G:HIST1H4H:HIST1H3I:HIST1H3J,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_DNA_REPLICATION_DEPENDENT_NUCLEOSOME_ORGANIZATION,3.434792371091236e-10
7,GO_bp,GO_REGULATION_OF_GENE_SILENCING,57,23,2.7632655443728592e-14,2.5387502188925643e-11,MAP2K2:ATAD2B:PPARG:HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H1E:HIST1H4D:HIST1H3D:HIST1H4E:HIST1H3E:HIST1H3G:HIST1H4H:HIST1H1B:HIST1H3I:HIST1H3J:CASC7:AGO2,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_GENE_SILENCING,5.839125503452898e-10
8,GO_bp,GO_CHROMATIN_SILENCING_AT_RDNA,21,14,4.584655401490111e-13,3.7441352445502574e-10,HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H3C:HIST1H4C:HIST1H4D:HIST1H3D:HIST1H4E:HIST1H3E:HIST1H3G:HIST1H4H:HIST1H3I:HIST1H3J,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CHROMATIN_SILENCING_AT_RDNA,8.611511062465592e-09
9,GO_bp,GO_PROTEIN_HETEROTETRAMERIZATION,25,15,6.249829863322392e-13,4.593624949541959e-10,FARSA:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H3C:HIST1H4C:HIST1H4D:HIST1H3D:HIST1H4E:HIST1H3E:HIST1H3G:HIST1H4H:HIST1H3I:HIST1H3J,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_PROTEIN_HETEROTETRAMERIZATION,1.0565337383946506e-08
10,GO_bp,GO_CHROMATIN_ORGANIZATION,293,51,8.803181825212443e-13,5.882126037755587e-10,MEAF6:KDM2A:KANSL1:ZBTB7A:ATAD2B:CCNA2:HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2AB:HIST1H2BB:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H2BC:HIST1H2AC:HIST1H1E:HIST1H2BD:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H2AE:HIST1H3E:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2BJ:HIST1H2BK:HIST1H2AH:HIST1H2BL:HIST1H2AI:HIST1H2AK:HIST1H2BN:HIST1H2AL:HIST1H1B:HIST1H3I:HIST1H3J:HIST1H2AM:HIST1H2BO:EHMT2:NELFE:MYB:LOXL2:BRD3,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CHROMATIN_ORGANIZATION,1.3528889886837849e-08
11,GO_bp,GO_CHROMATIN_ORGANIZATION_INVOLVED_IN_REGULATION_OF_TRANSCRIPTION,51,20,2.720468403652311e-12,1.6662868972370402e-09,ATAD2B:HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H1E:HIST1H4D:HIST1H3D:HIST1H4E:HIST1H3E:HIST1H3G:HIST1H4H:HIST1H1B:HIST1H3I:HIST1H3J,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CHROMATIN_ORGANIZATION_INVOLVED_IN_REGULATION_OF_TRANSCRIPTION,3.8324598636451926e-08
12,GO_bp,GO_CHROMOSOME_ORGANIZATION,401,60,5.841113254370714e-12,3.302475570740365e-09,MEAF6:POLA2:KDM2A:POLD4:MAPKAPK5:PDS5B:SPAG5:KANSL1:ZBTB7A:SYCE2:ATAD2B:XRN1:RFC1:CCNA2:HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2AB:HIST1H2BB:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H2BC:HIST1H2AC:HIST1H1E:HIST1H2BD:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H2AE:HIST1H3E:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2BJ:HIST1H2BK:HIST1H2AH:HIST1H2BL:HIST1H2AI:HIST1H2AK:HIST1H2BN:HIST1H2AL:HIST1H1B:HIST1H3I:HIST1H3J:HIST1H2AM:HIST1H2BO:MSH5:EHMT2:NELFE:MYB:LOXL2:BRD3,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CHROMOSOME_ORGANIZATION,7.595693812702839e-08
13,GO_bp,GO_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC,54,20,9.564020007947103e-12,5.021110504172229e-09,ATAD2B:HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H1E:HIST1H4D:HIST1H3D:HIST1H4E:HIST1H3E:HIST1H3G:HIST1H4H:HIST1H1B:HIST1H3I:HIST1H3J,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC,1.1548554159596127e-07
