Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
GO_bp	GO_CHROMATIN_ASSEMBLY	62	31	2.342683471315328e-22	1.7218723514167662e-18	HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H2BC:HIST1H1E:HIST1H2BD:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2BJ:HIST1H2BK:HIST1H2BL:HIST1H2BN:HIST1H1B:HIST1H3I:HIST1H3J:HIST1H2BO	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CHROMATIN_ASSEMBLY
GO_bp	GO_NUCLEOSOME_ORGANIZATION	71	31	3.933560920251694e-20	1.4455836381924976e-16	HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H2BC:HIST1H1E:HIST1H2BD:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2BJ:HIST1H2BK:HIST1H2BL:HIST1H2BN:HIST1H1B:HIST1H3I:HIST1H3J:HIST1H2BO	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_NUCLEOSOME_ORGANIZATION
GO_bp	GO_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	78	31	1.133762441769115e-18	2.7777179823343314e-15	HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H2BC:HIST1H1E:HIST1H2BD:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2BJ:HIST1H2BK:HIST1H2BL:HIST1H2BN:HIST1H1B:HIST1H3I:HIST1H3J:HIST1H2BO	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY
GO_bp	GO_DNA_PACKAGING	81	31	4.199082540796309e-18	7.715814168713218e-15	HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H2BC:HIST1H1E:HIST1H2BD:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2BJ:HIST1H2BK:HIST1H2BL:HIST1H2BN:HIST1H1B:HIST1H3I:HIST1H3J:HIST1H2BO	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_DNA_PACKAGING
GO_bp	GO_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION	99	31	3.139992224214774e-15	4.6157885695957185e-12	HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H2BC:HIST1H1E:HIST1H2BD:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2BJ:HIST1H2BK:HIST1H2BL:HIST1H2BN:HIST1H1B:HIST1H3I:HIST1H3J:HIST1H2BO	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION
GO_bp	GO_DNA_CONFORMATION_CHANGE	103	31	1.0871802135247128e-14	1.3317957615677731e-11	HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H2BC:HIST1H1E:HIST1H2BD:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2BJ:HIST1H2BK:HIST1H2BL:HIST1H2BN:HIST1H1B:HIST1H3I:HIST1H3J:HIST1H2BO	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_DNA_CONFORMATION_CHANGE
GO_bp	GO_DNA_REPLICATION_DEPENDENT_NUCLEOSOME_ORGANIZATION	18	14	1.422274273743783e-14	1.4933879874309723e-11	HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H3C:HIST1H4C:HIST1H4D:HIST1H3D:HIST1H4E:HIST1H3E:HIST1H3G:HIST1H4H:HIST1H3I:HIST1H3J	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_DNA_REPLICATION_DEPENDENT_NUCLEOSOME_ORGANIZATION
GO_bp	GO_REGULATION_OF_GENE_SILENCING	57	23	2.7632655443728592e-14	2.5387502188925643e-11	MAP2K2:ATAD2B:PPARG:HIST1H1A:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H3C:HIST1H1C:HIST1H4C:HIST1H1T:HIST1H1E:HIST1H4D:HIST1H3D:HIST1H4E:HIST1H3E:HIST1H3G:HIST1H4H:HIST1H1B:HIST1H3I:HIST1H3J:CASC7:AGO2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_GENE_SILENCING
GO_bp	GO_CHROMATIN_SILENCING_AT_RDNA	21	14	4.584655401490111e-13	3.7441352445502574e-10	HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H3C:HIST1H4C:HIST1H4D:HIST1H3D:HIST1H4E:HIST1H3E:HIST1H3G:HIST1H4H:HIST1H3I:HIST1H3J	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CHROMATIN_SILENCING_AT_RDNA
GO_bp	GO_PROTEIN_HETEROTETRAMERIZATION	25	15	6.249829863322392e-13	4.5936249495419586e-10	FARSA:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H3C:HIST1H4C:HIST1H4D:HIST1H3D:HIST1H4E:HIST1H3E:HIST1H3G:HIST1H4H:HIST1H3I:HIST1H3J	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_PROTEIN_HETEROTETRAMERIZATION
