Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
GO_bp	GO_SKELETAL_SYSTEM_DEVELOPMENT	165	39	9.97392468079043e-08	0.0007330834640380966	BMP8A:COL11A1:WNT2B:TBX15:PRRX1:PAPPA2:COL2A1:IGF1:FAM101A:SMAD3:ACAN:MAPK3:VKORC1:SMPD3:HOXB3:HOXB5:HOXB6:PHOSPHO1:NCAN:HAPLN4:EFEMP1:HOXD12:SATB2:BMPR2:HYAL3:HYAL1:FOXP1:RYK:FGF2:NPR3:NIPBL:MEF2C:FBN2:RUNX2:ITGB8:AUTS2:CREB3L2:FGFR1:PCSK5	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_SKELETAL_SYSTEM_DEVELOPMENT
GO_bp	GO_SKELETAL_SYSTEM_MORPHOGENESIS	73	23	2.0887329587049685e-07	0.0007482746146554053	COL11A1:TBX15:PRRX1:PAPPA2:COL2A1:FAM101A:SMAD3:ACAN:SMPD3:HOXB3:HOXB5:HOXB6:PHOSPHO1:SATB2:BMPR2:HYAL1:RYK:NIPBL:MEF2C:FBN2:RUNX2:AUTS2:FGFR1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_SKELETAL_SYSTEM_MORPHOGENESIS
GO_bp	GO_CARTILAGE_DEVELOPMENT	69	22	3.0541821006343076e-07	0.0007482746146554053	BMP8A:COL11A1:WNT2B:PRRX1:COL2A1:FAM101A:SMAD3:ACAN:MAPK3:SMPD3:HOXB3:EFEMP1:SATB2:BMPR2:HYAL3:HYAL1:FGF2:MEF2C:RUNX2:ITGB8:CREB3L2:FGFR1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CARTILAGE_DEVELOPMENT
GO_bp	GO_CONNECTIVE_TISSUE_DEVELOPMENT	87	24	1.734587015542496e-06	0.0031786488596009443	BMP8A:COL11A1:WNT2B:PRRX1:COL2A1:CDK4:FAM101A:SMAD3:ACAN:MAPK3:SMPD3:HOXB3:EFEMP1:SATB2:BMPR2:HYAL3:HYAL1:FGF2:MEF2C:PPARD:RUNX2:ITGB8:CREB3L2:FGFR1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CONNECTIVE_TISSUE_DEVELOPMENT
GO_bp	GO_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS	35	14	2.1623461629938394e-06	0.0031786488596009443	COL11A1:TBX15:PRRX1:COL2A1:SMAD3:HOXB3:HOXB5:HOXB6:SATB2:HYAL1:NIPBL:MEF2C:RUNX2:AUTS2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS
GO_bp	GO_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT	44	15	9.666627379688252e-06	0.011841618540118108	COL11A1:TBX15:PRRX1:COL2A1:SMAD3:HOXB3:HOXB5:HOXB6:SATB2:HYAL1:NIPBL:MEF2C:RUNX2:AUTS2:PCSK5	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT
GO_bp	GO_RESPONSE_TO_ENDOGENOUS_STIMULUS	489	76	1.651823514853325e-05	0.017344146905959913	KIF1B:PADI2:BMP8A:PTGFR:ZBTB7B:SLC30A10:AKR1C4:PARD3:KCNQ1:ARNTL:PIK3C2A:FIBP:FOSL1:CCND1:CDKN1B:PDE3A:COL2A1:GPD1:CDK4:IGF1:SMAD6:SMAD3:IGF1R:TSC2:ADCY9:MAPK3:SMPD3:NQO1:TP53:PHB:CSH2:CSHL1:TIMP2:BAIAP2:SKOR2:INSR:CCNE1:ADCY3:LTBP1:SLC8A1:PRKCE:BMPR2:ERBB4:VIL1:RQCD1:PRKAR2A:DAG1:HYAL1:CISH:FOXP1:ROBO2:VEPH1:EIF2B5:CLOCK:REST:HNRNPD:TACR3:FGF2:GHR:PIK3R1:MEF2C:FER:FBN2:SLIT3:FGFR4:PPARD:RUNX2:FOXO3:CALCR:AOC1:NOS3:FGFR1:ASPN:PTCH1:TNC:PAPPA	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_RESPONSE_TO_ENDOGENOUS_STIMULUS
GO_bp	GO_REGULATION_OF_GROWTH	210	39	5.34279411985024e-05	0.04908692097612408	MACF1:ADAM15:PAPPA2:PLCE1:SEMA4G:CDKN1B:CDK4:IGF1:SMAD3:TAOK2:SOX15:TP53:PHB:CSH2:CSHL1:INSR:NDUFA13:BMPR2:ERBB4:VIL1:IP6K2:HYAL1:CACNA2D2:CISH:VPRBP:SEMA3G:RYK:FGF2:NIPBL:GHR:SEPP1:MEF2C:HBEGF:SLIT3:PPARD:IGFBP3:FGFR1:PTCH1:TRIM32	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_GROWTH
GWAScatalog	Body fat distribution (arm fat ratio)	106	51	1.2025189502767833e-24	2.182571894752362e-21	MFAP2:ATP13A2:SEC16B:PLCE1:CCND1:ORAOV1:CCDC91:ASIC1:SMARCD1:GPD1:CERS5:LIMA1:DIP2B:ATF1:LOXL1:SH3GL3:ADAMTSL3:ACAN:ADAMTS17:ASPHD1:KCTD13:TMEM219:TAOK2:HIRIP3:INO80E:DOC2A:FAM57B:ALDOA:PPP4C:TBX6:YPEL3:GDPD3:VKORC1:NQO1:ZNF652:ADAMTS10:ADCY3:DNAJC27:EFR3B:EFEMP1:PLCL1:DOCK3:FGFR4:NSD1:PRELID1:C6orf106:SNRPC:UHRF1BP1:LIN28B:GPR126:KCNH2	
GWAScatalog	Body fat distribution (trunk fat ratio)	170	64	2.0317638180832672e-23	1.843825664910565e-20	KIF1B:MFAP2:ATP13A2:WNT2B:CAPZA1:MOV10:MTMR11:ZBTB7B:ADAM15:PLCE1:CCDC91:ASIC1:SMARCD1:GPD1:CERS5:LIMA1:DIP2B:ATF1:SMAD3:LOXL1:SH3GL3:ADAMTSL3:ACAN:ADAMTS17:ZNF652:ADAMTS10:TM6SF2:SUGP1:MAU2:GATAD2A:TSSK6:NDUFA13:CILP2:ADCY3:DNAJC27:EFR3B:EFEMP1:PLCL1:ARIH2OS:ARIH2:P4HTM:WDR6:DALRD3:IMPDH2:QRICH1:QARS:DOCK3:PBRM1:FGFR4:NSD1:PRELID1:ZNF354C:NUDT3:PACSIN1:C6orf106:SNRPC:UHRF1BP1:LIN28B:GPR126:ITGB8:CREB3L2:PCSK5:HNRNPK:RMI1	
