,Category,GeneSet,N_genes,N_overlap,p,adjP,genes,link,corrected_P
0,GO_bp,GO_SENSORY_PERCEPTION_OF_SMELL,37,12,6.762469826351974e-12,4.9704153223687014e-08,OR10R2:OR6Y1:OR6P1:OR10X1:OR6K2:OR6K3:OR6F1:OR14A2:OR14K1:OR1C1:OR14A16:OR11L1,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_SENSORY_PERCEPTION_OF_SMELL,1.1431955241448013e-06
1,GO_bp,GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS,50,12,3.5101196795932175e-10,1.2899689822505075e-06,OR10R2:OR6Y1:OR6P1:OR10X1:OR6K2:OR6K3:OR6F1:OR14A2:OR14K1:OR1C1:OR14A16:OR11L1,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS,2.966928659176167e-05
2,GO_bp,GO_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION,53,12,7.309416651418785e-10,1.790807079597602e-06,OR10R2:OR6Y1:OR6P1:OR10X1:OR6K2:OR6K3:OR6F1:OR14A2:OR14K1:OR1C1:OR14A16:OR11L1,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION,4.1188562830744846e-05
3,GO_bp,GO_DETECTION_OF_STIMULUS,85,12,2.0283574435309733e-07,0.0003727106802488,OR10R2:OR6Y1:OR6P1:OR10X1:OR6K2:OR6K3:OR6F1:OR14A2:OR14K1:OR1C1:OR14A16:OR11L1,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_DETECTION_OF_STIMULUS,0.0085723456457224
6,GWAScatalog,High light scatter reticulocyte percentage of red cells,113,13,7.043142385390345e-07,0.0010586298948963,CD82:FERMT3:CBL:BAZ1A:MYO1D:SPHK1:AANAT:KANK2:PPP1R15A:PELO:CAV1:CA1:SEMA4D,,0.0243484875826149
7,GWAScatalog,High light scatter reticulocyte count,118,13,1.1665343194449636e-06,0.0010586298948963,CD82:FERMT3:CBL:BAZ1A:MYO1D:SPHK1:AANAT:KANK2:PPP1R15A:PELO:CAV1:CA1:SEMA4D,,0.0243484875826149
8,GWAScatalog,Blood trace element (Cu levels),6,4,3.051464387802377e-06,0.0016238232559107,CCDC27:LRRC47:CEP104:DFFB,,0.0373479348859461
9,GWAScatalog,Red cell distribution width,151,14,3.578673842227456e-06,0.0016238232559107,CCDC27:LRRC47:ATP2B4:CD82:MYO1D:WIPI1:FOXK2:AP1M2:KANK2:PPP1R15A:NKD2:FAM114A2:NKX6-3:CRAT,,0.0373479348859461
10,GWAScatalog,Reticulocyte count,115,12,5.538773380040963e-06,0.0020105747369548,CBL:BAZ1A:MYO1D:TAF15:SPHK1:FOXK2:KANK2:PPP1R15A:PELO:CAV1:CA1:SEMA4D,,0.0462432189499604
16,Positional_gene_sets,chr2p15,11,6,3.8442412011040916e-08,1.1494281191301231e-05,PUS10:KIAA1841:C2orf74:AHSA2:USP34:XPO1,http://www.gsea-msigdb.org/gsea/msigdb/cards/chr2p15,0.00026436846739992835
17,Positional_gene_sets,chr1q44,14,6,2.3696684945798925e-07,3.5426543993969394e-05,OR6F1:OR14A2:OR14K1:OR1C1:OR14A16:OR11L1,http://www.gsea-msigdb.org/gsea/msigdb/cards/chr1q44,0.0008148105118612961
18,Positional_gene_sets,chr14q11,15,5,1.1096686077285248e-05,0.0011059697123694,RBM23:PRMT5:HAUS4:AJUBA:C14orf93,http://www.gsea-msigdb.org/gsea/msigdb/cards/chr14q11,0.0254373033844962
19,Positional_gene_sets,chr1q23,29,6,2.8765569078239444e-05,0.0021502262885983,OR10R2:OR6Y1:OR6P1:OR10X1:OR6K2:OR6K3,http://www.gsea-msigdb.org/gsea/msigdb/cards/chr1q23,0.0494552046377609
21,GO_mf,GO_OLFACTORY_RECEPTOR_ACTIVITY,31,12,5.736309473716602e-13,9.436229084263807e-10,OR10R2:OR6Y1:OR6P1:OR10X1:OR6K2:OR6K3:OR6F1:OR14A2:OR14K1:OR1C1:OR14A16:OR11L1,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_OLFACTORY_RECEPTOR_ACTIVITY,2.1703326893806756e-08
22,GO_mf,GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY,129,15,7.786813230694119e-08,6.404653882245912e-05,OR10R2:OR6Y1:OR6P1:OR10X1:OR6K2:OR6K3:OR6F1:OR14A2:OR14K1:OR1C1:OR14A16:OR11L1:SPHK1:S1PR5:CELSR3,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY,0.0014730703929165597
25,Curated_gene_sets,REACTOME_OLFACTORY_SIGNALING_PATHWAY,33,12,1.3915094437565297e-12,7.654693450104669e-09,OR10R2:OR6Y1:OR6P1:OR10X1:OR6K2:OR6K3:OR6F1:OR14A2:OR14K1:OR1C1:OR14A16:OR11L1,http://www.gsea-msigdb.org/gsea/msigdb/cards/REACTOME_OLFACTORY_SIGNALING_PATHWAY,1.7605794935240737e-07
26,Curated_gene_sets,KEGG_OLFACTORY_TRANSDUCTION,32,9,1.400669675066514e-08,3.852541941270447e-05,OR10R2:OR6Y1:OR10X1:OR6K2:OR6K3:OR6F1:OR1C1:OR14A16:OR11L1,http://www.gsea-msigdb.org/gsea/msigdb/cards/KEGG_OLFACTORY_TRANSDUCTION,0.0008860846464922029
27,Curated_gene_sets,REACTOME_G_ALPHA_S_SIGNALLING_EVENTS,76,12,5.622955591740288e-08,0.0001031062623672,OR10R2:OR6Y1:OR6P1:OR10X1:OR6K2:OR6K3:OR6F1:OR14A2:OR14K1:OR1C1:OR14A16:OR11L1,http://www.gsea-msigdb.org/gsea/msigdb/cards/REACTOME_G_ALPHA_S_SIGNALLING_EVENTS,0.0023714440344456
28,KEGG,KEGG_OLFACTORY_TRANSDUCTION,32,9,1.400669675066514e-08,2.605245595623716e-06,OR10R2:OR6Y1:OR10X1:OR6K2:OR6K3:OR6F1:OR1C1:OR14A16:OR11L1,http://www.gsea-msigdb.org/gsea/msigdb/cards/KEGG_OLFACTORY_TRANSDUCTION,5.992064869934547e-05
29,Reactome,REACTOME_OLFACTORY_SIGNALING_PATHWAY,33,12,1.3915094437565297e-12,2.0858726561910382e-09,OR10R2:OR6Y1:OR6P1:OR10X1:OR6K2:OR6K3:OR6F1:OR14A2:OR14K1:OR1C1:OR14A16:OR11L1,http://www.gsea-msigdb.org/gsea/msigdb/cards/REACTOME_OLFACTORY_SIGNALING_PATHWAY,4.797507109239388e-08
30,Reactome,REACTOME_G_ALPHA_S_SIGNALLING_EVENTS,76,12,5.622955591740288e-08,4.2144052160093466e-05,OR10R2:OR6Y1:OR6P1:OR10X1:OR6K2:OR6K3:OR6F1:OR14A2:OR14K1:OR1C1:OR14A16:OR11L1,http://www.gsea-msigdb.org/gsea/msigdb/cards/REACTOME_G_ALPHA_S_SIGNALLING_EVENTS,0.0009693131996821497
31,Canonical_Pathways,REACTOME_OLFACTORY_SIGNALING_PATHWAY,33,12,1.3915094437565297e-12,3.059929266820608e-09,OR10R2:OR6Y1:OR6P1:OR10X1:OR6K2:OR6K3:OR6F1:OR14A2:OR14K1:OR1C1:OR14A16:OR11L1,http://www.gsea-msigdb.org/gsea/msigdb/cards/REACTOME_OLFACTORY_SIGNALING_PATHWAY,7.037837313687399e-08
32,Canonical_Pathways,KEGG_OLFACTORY_TRANSDUCTION,32,9,1.400669675066514e-08,1.5400363077356322e-05,OR10R2:OR6Y1:OR10X1:OR6K2:OR6K3:OR6F1:OR1C1:OR14A16:OR11L1,http://www.gsea-msigdb.org/gsea/msigdb/cards/KEGG_OLFACTORY_TRANSDUCTION,0.0003542083507791954
33,Canonical_Pathways,REACTOME_G_ALPHA_S_SIGNALLING_EVENTS,76,12,5.622955591740288e-08,4.121626448745632e-05,OR10R2:OR6Y1:OR6P1:OR10X1:OR6K2:OR6K3:OR6F1:OR14A2:OR14K1:OR1C1:OR14A16:OR11L1,http://www.gsea-msigdb.org/gsea/msigdb/cards/REACTOME_G_ALPHA_S_SIGNALLING_EVENTS,0.0009479740832114954
