,Category,GeneSet,N_genes,N_overlap,p,adjP,genes,link,corrected_P
1,GWAScatalog,Diastolic blood pressure,327,41,5.644878551479385e-20,1.0245454570935079e-16,C1orf167:MTHFR:CLCN6:NPPB:NGF:NAV1:AGT:C10orf107:ADRB1:TNNT3:LRRC10B:ARHGAP42:TMEM133:CWF19L2:ATP2B1:CYP1A2:CSK:LMAN1L:FURIN:FES:UMOD:GNAO1:SLC2A4:MAPK4:NAB1:FGD5:SLC4A7:MRAS:ARHGEF26:TBCK:USP38:GUCY1A3:KIF2A:PRDM6:HTR4:SH3TC2:ABLIM3:PHIP:C1GALT1:PODXL:MCPH1:SORBS3,,2.356454551315068e-15
2,GWAScatalog,Systolic blood pressure,391,43,9.128388319201309e-19,8.284012399675186e-16,MTHFR:CLCN6:NPPA:NPPB:SGIP1:NGF:AGT:C10orf107:ADRB1:TNNT3:LRRC10B:ARHGAP42:TMEM133:CWF19L2:ATP2B1:TCHP:ANKRD13A:CSK:FURIN:FES:SLC2A4:MAPK4:CEP68:SLC4A10:OLA1:NAB1:FGD5:SLC4A7:MRAS:ARHGEF26:BMPR1B:TBCK:ENPEP:USP38:GUCY1A3:LHFPL2:PRDM6:HTR4:SH3TC2:PHIP:C1GALT1:MKLN1:PODXL:ZFHX4,,1.9053228519252927e-14
3,GWAScatalog,Mean arterial pressure,92,18,2.9790865849556187e-12,1.8023473838981486e-09,MTHFR:AGT:C10orf107:ADRB1:TNNT3:LRRC10B:ARHGAP42:TMEM133:ATP2B1:CYP1A2:CSK:LMAN1L:FURIN:FGD5:SLC4A7:ZNF589:ENPEP:PHIP:HOXA10,,4.145398982965742e-08
4,GWAScatalog,Medication use (agents acting on the renin-angiotensin system),98,18,9.26335430381358e-12,4.2032470153554134e-09,PHF13:CLCN6:AGT:BICC1:C10orf107:ADRB1:LRRC10B:ARHGAP42:TMEM133:CSK:FES:CEP68:ZBTB46:ENPEP:USP38:GUCY1A3:PRDM6:C1GALT1:PODXL,,9.667468135317451e-08
5,GWAScatalog,Pulse pressure,332,31,2.0329184555551227e-11,6.973190861730128e-09,MTHFR:NPPA:NPPB:DDI2:SGIP1:NAV1:BICC1:SIRT1:WT1:ARHGAP42:TMEM133:CWF19L2:ATP2B1:TCHP:FES:GNAO1:SLC2A4:MAPK4:PLEKHJ1:CEP68:NAB1:FGD5:SLC4A7:TBCK:GUCY1A3:LHFPL2:PRDM6:FHL5:THBS2:PODXL:ZFHX4:NDUFAF6,,1.6038338981979295e-07
6,GWAScatalog,Diastolic blood pressure (cigarette smoking interaction),46,13,2.689384905350463e-11,6.973190861730128e-09,MTHFR:CLCN6:NPPB:AGT:C10orf107:ADRB1:TNNT3:LRRC10B:ATP2B1:CSK:FURIN:FES:SLC4A7,,1.6038338981979295e-07
7,GWAScatalog,Systolic blood pressure (cigarette smoking interaction),46,13,2.689384905350463e-11,6.973190861730128e-09,MTHFR:CLCN6:NPPB:AGT:C10orf107:ADRB1:TNNT3:LRRC10B:ATP2B1:CSK:FURIN:FES:SLC4A7,,1.6038338981979295e-07
8,GWAScatalog,Diastolic blood pressure x alcohol consumption interaction (2df test),58,14,4.6444233147261275e-11,1.0537035395284903e-08,C1orf167:CLCN6:NPPB:AGT:C10orf107:ADRB1:LRRC10B:ARHGAP42:TMEM133:ATP2B1:FURIN:FES:SLC4A7:GUCY1A3:IRAK1BP1,,2.423518140915528e-07
9,GWAScatalog,Hypertension,62,14,1.2279497860094355e-10,2.4763654017856948e-08,TNNT3:LRRC10B:ARHGAP42:TMEM133:ATP2B1:FURIN:FES:UMOD:FGD5:SLC4A7:ENPEP:GUCY1A3:HOXA10:MKLN1:PODXL,,5.695640424107098e-07
10,GWAScatalog,Diastolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test),27,10,2.8891296711320386e-10,5.2437703531046516e-08,MTHFR:CLCN6:C10orf107:ADRB1:ARHGAP42:TMEM133:ATP2B1:CSK:FURIN:FES:GUCY1A3,,1.2060671812140698e-06
