,Category,GeneSet,N_genes,N_overlap,p,adjP,genes,link,corrected_P
0,GO_bp,GO_FLAVONOID_GLUCURONIDATION,9,9,1.9407170672661482e-12,7.132135222203095e-09,UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_FLAVONOID_GLUCURONIDATION,1.640391101106712e-07
1,GO_bp,GO_XENOBIOTIC_GLUCURONIDATION,9,9,1.9407170672661482e-12,7.132135222203095e-09,UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_XENOBIOTIC_GLUCURONIDATION,1.640391101106712e-07
2,GO_bp,GO_URONIC_ACID_METABOLIC_PROCESS,10,9,1.8552301123509708e-11,4.5453137752598797e-08,UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_URONIC_ACID_METABOLIC_PROCESS,1.0454221683097724e-06
3,GO_bp,GO_FLAVONOID_METABOLIC_PROCESS,11,9,9.754419856684892e-11,1.792374648665849e-07,UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_FLAVONOID_METABOLIC_PROCESS,4.1224616919314525e-06
4,GO_bp,GO_PIGMENT_METABOLIC_PROCESS,23,11,3.626936725909906e-09,5.331596987087563e-06,TYR:PMEL:DCT:UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A4:UGT1A1:ASIP:TYRP1,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_PIGMENT_METABOLIC_PROCESS,0.00012262673070301394
5,GO_bp,GO_XENOBIOTIC_METABOLIC_PROCESS,27,11,2.9163782473865246e-08,3.572563353048492e-05,CYP1B1:UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1:AHR,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_XENOBIOTIC_METABOLIC_PROCESS,0.0008216895712011532
6,GO_bp,GO_FLAVONE_METABOLIC_PROCESS,5,5,3.244226276760837e-07,0.0003406437590598,UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A1,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_FLAVONE_METABOLIC_PROCESS,0.0078348064583754
7,GO_bp,GO_RETINOIC_ACID_METABOLIC_PROCESS,8,6,4.144644201758333e-07,0.0003807891860365,ALDH1A2:UGT1A8:UGT1A9:UGT1A7:UGT1A3:UGT1A1,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_RETINOIC_ACID_METABOLIC_PROCESS,0.008758151278839499
15,GWAScatalog,Blond vs. brown/black hair color,105,47,2.22068585426253e-34,4.030544825486493e-31,PADI3:KCNH1:LGR4:GAB2:GRM5:TYR:TMTC3:KITLG:DCT:ZFP36L1:SLC24A4:KRT33A:SP6:SP2:PDE6G:NOTUM:TBCD:EN1:EPHA4:PAX3:BCAS1:KIAA0930:CHL1:MITF:DIRC2:ATP1B3:FRAS1:ARHGAP24:RPL34:ADAMTS12:NDUFS4:ZFYVE16:MSX2:IRF4:EXOC2:CLIC5:EZR:FZD1:PEBP4:AP3M2:SNX16:DOCK8:ERMP1:KIAA2026:TYRP1:FOXE1:LHX2,,9.270253098618933e-30
16,GWAScatalog,Hair color,29,15,1.0232400869827272e-12,9.28590378936825e-10,GAB2:GRM5:TYR:KITLG:DCT:SLC24A4:SP6:SP2:EPHA4:ASIP:BCAS1:IRF4:EZR:TYRP1:LHX2,,2.1357578715546974e-08
17,GWAScatalog,Brown vs. black hair color,30,13,5.979940184613428e-10,3.617863811691124e-07,GAB2:TYR:TMTC3:KITLG:SLC24A4:KRT31:SP6:EPHA4:IRF4:EXOC2:EZR:SNX16:C9orf66,,8.321086766889586e-06
18,GWAScatalog,Total bilirubin levels,18,10,2.893142149887803e-09,9.383920247664816e-07,SCARB1:UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1,,2.1583016569629075e-05
19,GWAScatalog,Hair greying,18,10,2.893142149887803e-09,9.383920247664816e-07,UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1:IRF4,,2.1583016569629075e-05
20,GWAScatalog,Total bilirubin levels in HIV-1 infection,14,9,3.102122395922253e-09,9.383920247664816e-07,UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1,,2.1583016569629075e-05
21,GWAScatalog,Tanning,9,6,1.190654044278876e-06,0.000308719584338,GRM5:TYR:ASIP:PPARGC1B:IRF4:EXOC2,,0.007100550439774001
22,GWAScatalog,Nevus count,6,5,1.8658144961234824e-06,0.000423306663808,KITLG:CYP1B1:PPARGC1B:IRF4:DOCK8,,0.009736053267584
33,Chemical_and_Genetic_pertubation,NIKOLSKY_BREAST_CANCER_17Q21_Q25_AMPLICON,117,22,5.8333255704709246e-08,0.0001926164103369,SP2:PRR15L:CDK5RAP3:XYLT2:ACSF2:CHAD:H3F3B:UNK:ACTG1:C17orf70:NPLOC4:PDE6G:CCDC137:ARL16:HGS:MRPL12:SLC25A10:SLC25A10:NOTUM:RAC3:RFNG:TBCD:ZNF750,http://www.gsea-msigdb.org/gsea/msigdb/cards/NIKOLSKY_BREAST_CANCER_17Q21_Q25_AMPLICON,0.0044301774377487006
36,Positional_gene_sets,chr17q25,49,16,8.833476495364646e-10,2.641209472114029e-07,H3F3B:UNK:ACTG1:C17orf70:NPLOC4:PDE6G:CCDC137:ARL16:HGS:MRPL12:SLC25A10:SLC25A10:NOTUM:RAC3:RFNG:TBCD:ZNF750,http://www.gsea-msigdb.org/gsea/msigdb/cards/chr17q25,6.074781785862267e-06
37,Positional_gene_sets,chr11q14,22,10,3.5678443607734654e-08,5.33392731935633e-06,KCTD21:GAB2:NARS2:CTSC:GRM5:TYR:TRIM77:TRIM49D1:NAALAD2:CHORDC1,http://www.gsea-msigdb.org/gsea/msigdb/cards/chr11q14,0.0001226803283451956
38,Positional_gene_sets,chr2q37,35,10,5.632692666902475e-06,0.0004489080358095,UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1:ASB1,http://www.gsea-msigdb.org/gsea/msigdb/cards/chr2q37,0.0103248848236185
39,Positional_gene_sets,chr12q21,11,6,6.005458673037563e-06,0.0004489080358095,MGAT4C:C12orf50:C12orf29:CEP290:TMTC3:KITLG,http://www.gsea-msigdb.org/gsea/msigdb/cards/chr12q21,0.0103248848236185
40,Positional_gene_sets,chr6p25,5,4,3.1165547857636614e-05,0.0018636997618866,IRF4:EXOC2:HUS1B:SLC22A23,http://www.gsea-msigdb.org/gsea/msigdb/cards/chr6p25,0.0428650945233918
44,Wikipathways,Glucuronidation,10,9,1.8552301123509708e-11,1.0073899510065771e-08,UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1,http://www.wikipathways.org/instance/WP698_r106827,2.3169968873151274e-07
45,Wikipathways,Codeine and Morphine Metabolism,7,6,1.0820928866029249e-07,2.9378821871269407e-05,UGT1A8:UGT1A10:UGT1A9:UGT1A6:UGT1A3:UGT1A1,http://www.wikipathways.org/instance/WP1604_r106699,0.0006757129030391963
46,Wikipathways,Aryl Hydrocarbon Receptor Pathway,25,9,1.931456820336853e-06,0.0003495936844809,SLC7A5:CYP1B1:UGT1A8:UGT1A9:UGT1A7:UGT1A6:UGT1A4:UGT1A3:AHR,http://www.wikipathways.org/instance/WP2873_r106304,0.0080406547430607
47,Wikipathways,Estrogen metabolism,8,5,1.6002099339120358e-05,0.0021722849852855,CYP1B1:UGT1A8:UGT1A9:UGT1A6:UGT1A3,http://www.wikipathways.org/instance/WP697_r106826,0.049962554661566495
52,GO_mf,GO_GLUCURONOSYLTRANSFERASE_ACTIVITY,13,9,1.158892787346346e-09,1.9063786351847391e-06,UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_GLUCURONOSYLTRANSFERASE_ACTIVITY,4.3846708609249e-05
53,GO_mf,GO_UDP_GLYCOSYLTRANSFERASE_ACTIVITY,36,13,8.773089438557897e-09,7.215866063213869e-06,MGAT4C:XYLT2:RFNG:UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1:GCNT2,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_UDP_GLYCOSYLTRANSFERASE_ACTIVITY,0.00016596491945391898
