,Category,GeneSet,N_genes,N_overlap,p,adjP,genes,link,corrected_P
0,GWAScatalog,Waist-to-hip ratio adjusted for BMI (age >50),78,21,2.6932058880958975e-11,4.8881686868940554e-08,PIGU:NCOA6:TP53INP2:GGT7:ACSS2:GSS:MYH7B:TRPC4AP:EDEM2:PROCR:MMP24:EIF6:FAM83C:UQCC1:GDF5:CEP250:C20orf173:ERGIC3:SPAG4:CPNE1:RBM12,,1.1242787979856328e-06
1,GWAScatalog,Blond vs. brown/black hair color,105,23,2.81193321084511e-10,2.5518293888419377e-07,PEX14:NFIA:CDC42BPA:PPFIBP2:SOX6:TPCN2:SLC38A2:MED13L:SLAIN1:OCA2:HERC2:BNC1:FOSL2:RALY:VGLL4:SLC45A2:GPR98:CDKAL1:AKAP12:ATXN7L1:TACC1:RSPO2:BNC2,,5.869207594336457e-06
2,GWAScatalog,Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test),118,23,3.250374211783708e-09,1.966476398129144e-06,PIGU:NCOA6:TP53INP2:GGT7:ACSS2:GSS:MYH7B:TRPC4AP:EDEM2:PROCR:MMP24:EIF6:FAM83C:UQCC1:GDF5:CEP250:C20orf173:ERGIC3:SPAG4:CPNE1:RBM12:SETD9:MIER3,,4.5228957156970315e-05
3,GWAScatalog,Waist-to-hip ratio adjusted for BMI,128,22,8.112297789466375e-08,3.680955121970368e-05,PIGU:NCOA6:TP53INP2:GGT7:ACSS2:GSS:MYH7B:TRPC4AP:EDEM2:PROCR:MMP24:EIF6:FAM83C:UQCC1:GDF5:CEP250:C20orf173:ERGIC3:SPAG4:CPNE1:SETD9:MIER3,,0.0008466196780531846
4,GWAScatalog,Squamous cell carcinoma,11,7,1.319745068420507e-07,4.790674598366439e-05,OCA2:HERC2:RALY:SRC:SLC45A2:BNC2:CNTLN,,0.001101855157624281
5,GWAScatalog,Brown vs. black hair color,30,10,5.772346435543673e-07,0.0001746134796751,PPFIBP2:TPCN2:SLAIN1:OCA2:HERC2:IL16:PIGU:SLC45A2:AKAP12:BNC2,,0.0040161100325273
17,Chemical_and_Genetic_pertubation,NIKOLSKY_BREAST_CANCER_20Q11_AMPLICON,31,31,8.846519924840313e-43,2.9211208791822715e-39,DYNLRB1:MAP1LC3A:PIGU:NCOA6:TP53INP2:GGT7:ACSS2:GSS:MYH7B:TRPC4AP:EDEM2:PROCR:MMP24:EIF6:FAM83C:UQCC1:GDF5:CEP250:ERGIC3:SPAG4:CPNE1:RBM12:NFS1:ROMO1:RBM39:PHF20:SCAND1:CNBD2:EPB41L1:AAR2:DLGAP4,http://www.gsea-msigdb.org/gsea/msigdb/cards/NIKOLSKY_BREAST_CANCER_20Q11_AMPLICON,6.718578022119225e-38
18,Positional_gene_sets,chr20q11,94,58,1.3772084189448525e-55,4.117853172645109e-53,EFCAB8:BPIFB4:CDK5RAP1:SNTA1:CBFA2T2:NECAB3:E2F1:PXMP4:ZNF341:CHMP4B:RALY:EIF2S2:ITCH:DYNLRB1:MAP1LC3A:PIGU:NCOA6:TP53INP2:GGT7:ACSS2:GSS:MYH7B:TRPC4AP:EDEM2:PROCR:MMP24:EIF6:FAM83C:UQCC1:GDF5OS:GDF5:CEP250:C20orf173:ERGIC3:SPAG4:CPNE1:RBM12:NFS1:ROMO1:RBM39:PHF20:SCAND1:CNBD2:EPB41L1:AAR2:DLGAP4:TGIF2:TGIF2-C20orf24:SLA2:NDRG3:SOGA1:TLDC2:SAMHD1:RBL1:RBL1:MROH8:MANBAL:SRC:BLCAP,http://www.gsea-msigdb.org/gsea/msigdb/cards/chr20q11,9.471062297083751e-52
19,Positional_gene_sets,chr2q21,11,7,1.319745068420507e-07,1.9730188772886577e-05,MGAT5:MAP3K19:RAB3GAP1:ZRANB3:R3HDM1:UBXN4:DARS,http://www.gsea-msigdb.org/gsea/msigdb/cards/chr2q21,0.00045379434177639125
20,Curated_gene_sets,NIKOLSKY_BREAST_CANCER_20Q11_AMPLICON,31,31,8.846519924840313e-43,4.8664706106546563e-39,DYNLRB1:MAP1LC3A:PIGU:NCOA6:TP53INP2:GGT7:ACSS2:GSS:MYH7B:TRPC4AP:EDEM2:PROCR:MMP24:EIF6:FAM83C:UQCC1:GDF5:CEP250:ERGIC3:SPAG4:CPNE1:RBM12:NFS1:ROMO1:RBM39:PHF20:SCAND1:CNBD2:EPB41L1:AAR2:DLGAP4,http://www.gsea-msigdb.org/gsea/msigdb/cards/NIKOLSKY_BREAST_CANCER_20Q11_AMPLICON,1.119288240450571e-37
