,Category,GeneSet,N_genes,N_overlap,p,adjP,genes,link,corrected_P
0,GWAScatalog,Granulocyte percentage of myeloid white cells,107,25,2.4168265136716717e-17,4.3865401223140845e-14,CEP85:ARID1A:GLMN:RPAP2:TCF7L2:LSP1:LYZ:LSP1:MARK3:AKAP13:CHSY1:ARRDC2:GCKR:ACKR2:KRBOX1:KRBOX1:RASA2:RP11-211G3.3:BCL6:TBC1D14:FAM46A:GLCCI1:CREB5:CDK6:CHD7:TRPS1:SNAPC4,,1.0089042281322394e-12
1,GWAScatalog,Monocyte percentage of white cells,121,25,5.618756739451791e-16,5.099021741052501e-13,CD52:ARID1A:GLMN:EVI5:RAB7L1:TCF7L2:LSP1:LYZ:LSP1:AKAP13:CHSY1:CHD9:ARRDC2:GCKR:ACKR2:KRBOX1:KRBOX1:RASA2:TBC1D14:ANAPC10:FAM46A:CREB5:CDK6:CHD7:TRPS1:PMPCA:INPP5E,,1.1727750004420752e-11
2,GWAScatalog,Monocyte count,130,19,1.3999500600019964e-09,8.469697863012079e-07,GLMN:RPAP2:EVI5:LSP1:LYZ:LSP1:MARK3:ARRDC2:SSBP4:ACKR2:KRBOX1:KRBOX1:RASA2:TBC1D14:TADA2B:ANAPC10:FAM46A:CDK6:TRPS1:LPAR1:PTGR1,,1.948030508492778e-05
3,GWAScatalog,Cognitive function,42,10,1.2316303737615124e-07,5.5885228209428633e-05,RNF43:HSF5:MTMR4:SEPT4:TEX14:RAD51C:PPM1E:TRIM37:SKA2:GLCCI1,,0.0012853602488168585
4,GWAScatalog,Sum neutrophil eosinophil counts,86,13,4.495345658514359e-07,0.00013598420617,CHSY1:GCKR:ACKR2:KRBOX1:KRBOX1:RASA2:TADA2B:GLCCI1:CREB5:CDK6:LYN:CHD7:PMPCA:INPP5E,,0.00312763674191
5,GWAScatalog,Granulocyte count,86,13,4.495345658514359e-07,0.00013598420617,CHSY1:GCKR:ACKR2:KRBOX1:KRBOX1:RASA2:TADA2B:GLCCI1:CREB5:CDK6:LYN:CHD7:PMPCA:INPP5E,,0.00312763674191
6,GWAScatalog,Myeloid white cell count,90,13,7.728671924753006e-07,0.0002003934220489,GLMN:CHSY1:GCKR:ACKR2:KRBOX1:KRBOX1:RASA2:TADA2B:CREB5:CDK6:LYN:CHD7:PMPCA:INPP5E,,0.0046090487071247
7,GWAScatalog,Sum basophil neutrophil counts,87,12,3.4826923801757784e-06,0.0007901358337523,CHSY1:GCKR:ACKR2:KRBOX1:KRBOX1:RASA2:TADA2B:CREB5:CDK6:LYN:CHD7:PMPCA:INPP5E,,0.0181731241763029
17,Positional_gene_sets,chr17q22,22,13,1.1472048745352504e-15,3.4301425748603993e-13,SUPT4H1:RNF43:HSF5:MTMR4:SEPT4:TEX14:RAD51C:PPM1E:TRIM37:SKA2:PRR11:SMG8:GDPD1,http://www.gsea-msigdb.org/gsea/msigdb/cards/chr17q22,7.889327922178919e-12
18,Positional_gene_sets,chr1p22,17,8,5.259003668814383e-09,7.862210484877503e-07,TGFBR3:C1orf146:GLMN:RPAP2:GFI1:EVI5:RPL5:FAM69A,http://www.gsea-msigdb.org/gsea/msigdb/cards/chr1p22,1.8083084115218256e-05
19,Positional_gene_sets,chr2p23,56,11,2.338036160061996e-07,2.3302427061951227e-05,GTF3C2:EIF2B4:SNX17:ZNF513:PPM1G:NRBP1:KRTCAP3:IFT172:FNDC4:GCKR:CCDC121,http://www.gsea-msigdb.org/gsea/msigdb/cards/chr2p23,0.0005359558224248783
20,Positional_gene_sets,chr1p36,86,12,3.073530770695528e-06,0.0001868014918018,CELA3B:CELA3A:CEP85:SH3BGRL3:UBXN11:CD52:ZNF683:ARID1A:ZDHHC18:GPN2:GPATCH3:NUDC,http://www.gsea-msigdb.org/gsea/msigdb/cards/chr1p36,0.0042964343114414
21,Positional_gene_sets,chr9q34,35,8,3.3524835328877757e-06,0.0001868014918018,DNLZ:CARD9:SNAPC4:SDCCAG3:PMPCA:INPP5E:SEC16A:C9orf163,http://www.gsea-msigdb.org/gsea/msigdb/cards/chr9q34,0.0042964343114414
22,Positional_gene_sets,chr7q21,17,6,3.74852491910025e-06,0.0001868014918018,GATAD1:ERVW-1:PEX1:RBM48:FAM133B:CDK6,http://www.gsea-msigdb.org/gsea/msigdb/cards/chr7q21,0.0042964343114414
