,Category,GeneSet,N_genes,N_overlap,p,adjP,genes,link,corrected_P
0,GO_bp,GO_SKELETAL_SYSTEM_DEVELOPMENT,165,39,9.97392468079043e-08,0.000733083464038,BMP8A:COL11A1:WNT2B:TBX15:PRRX1:PAPPA2:COL2A1:IGF1:FAM101A:SMAD3:ACAN:MAPK3:VKORC1:SMPD3:HOXB3:HOXB5:HOXB6:PHOSPHO1:NCAN:HAPLN4:EFEMP1:HOXD12:SATB2:BMPR2:HYAL3:HYAL1:FOXP1:RYK:FGF2:NPR3:NIPBL:MEF2C:FBN2:RUNX2:ITGB8:AUTS2:CREB3L2:FGFR1:PCSK5,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_SKELETAL_SYSTEM_DEVELOPMENT,0.016860919672874
1,GO_bp,GO_SKELETAL_SYSTEM_MORPHOGENESIS,73,23,2.0887329587049685e-07,0.0007482746146554,COL11A1:TBX15:PRRX1:PAPPA2:COL2A1:FAM101A:SMAD3:ACAN:SMPD3:HOXB3:HOXB5:HOXB6:PHOSPHO1:SATB2:BMPR2:HYAL1:RYK:NIPBL:MEF2C:FBN2:RUNX2:AUTS2:FGFR1,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_SKELETAL_SYSTEM_MORPHOGENESIS,0.0172103161370742
2,GO_bp,GO_CARTILAGE_DEVELOPMENT,69,22,3.054182100634308e-07,0.0007482746146554,BMP8A:COL11A1:WNT2B:PRRX1:COL2A1:FAM101A:SMAD3:ACAN:MAPK3:SMPD3:HOXB3:EFEMP1:SATB2:BMPR2:HYAL3:HYAL1:FGF2:MEF2C:RUNX2:ITGB8:CREB3L2:FGFR1,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CARTILAGE_DEVELOPMENT,0.0172103161370742
8,GWAScatalog,Body fat distribution (arm fat ratio),106,51,1.2025189502767831e-24,2.182571894752362e-21,MFAP2:ATP13A2:SEC16B:PLCE1:CCND1:ORAOV1:CCDC91:ASIC1:SMARCD1:GPD1:CERS5:LIMA1:DIP2B:ATF1:LOXL1:SH3GL3:ADAMTSL3:ACAN:ADAMTS17:ASPHD1:KCTD13:TMEM219:TAOK2:HIRIP3:INO80E:DOC2A:FAM57B:ALDOA:PPP4C:TBX6:YPEL3:GDPD3:VKORC1:NQO1:ZNF652:ADAMTS10:ADCY3:DNAJC27:EFR3B:EFEMP1:PLCL1:DOCK3:FGFR4:NSD1:PRELID1:C6orf106:SNRPC:UHRF1BP1:LIN28B:GPR126:KCNH2,,5.0199153579304324e-20
9,GWAScatalog,Body fat distribution (trunk fat ratio),170,64,2.0317638180832672e-23,1.843825664910565e-20,KIF1B:MFAP2:ATP13A2:WNT2B:CAPZA1:MOV10:MTMR11:ZBTB7B:ADAM15:PLCE1:CCDC91:ASIC1:SMARCD1:GPD1:CERS5:LIMA1:DIP2B:ATF1:SMAD3:LOXL1:SH3GL3:ADAMTSL3:ACAN:ADAMTS17:ZNF652:ADAMTS10:TM6SF2:SUGP1:MAU2:GATAD2A:TSSK6:NDUFA13:CILP2:ADCY3:DNAJC27:EFR3B:EFEMP1:PLCL1:ARIH2OS:ARIH2:P4HTM:WDR6:DALRD3:IMPDH2:QRICH1:QARS:DOCK3:PBRM1:FGFR4:NSD1:PRELID1:ZNF354C:NUDT3:PACSIN1:C6orf106:SNRPC:UHRF1BP1:LIN28B:GPR126:ITGB8:CREB3L2:PCSK5:HNRNPK:RMI1,,4.2407990292943e-19
10,GWAScatalog,Body fat distribution (leg fat ratio),162,57,2.999167121766032e-19,1.661965763919193e-16,KIF1B:MFAP2:ATP13A2:WNT2B:CAPZA1:MOV10:MTMR11:ZBTB7B:ADAM15:SEC16B:PLCE1:CCDC91:ASIC1:SMARCD1:GPD1:CERS5:LIMA1:DIP2B:ATF1:SMAD3:LOXL1:SH3GL3:ADAMTSL3:ACAN:ADAMTS17:NQO1:ZNF652:ADAMTS10:TM6SF2:SUGP1:MAU2:GATAD2A:TSSK6:NDUFA13:CILP2:EFEMP1:ARIH2OS:ARIH2:P4HTM:WDR6:DALRD3:IMPDH2:QRICH1:QARS:PBRM1:ZNF354C:NUDT3:PACSIN1:C6orf106:SNRPC:UHRF1BP1:LIN28B:GPR126:ITGB8:PCSK5:HNRNPK:RMI1,,3.8225212570141435e-15
11,GWAScatalog,Height,424,101,3.6627344659376164e-19,1.661965763919193e-16,H6PD:SPSB1:MFAP2:ATP13A2:SDHB:HTR1D:GIPC2:COL11A1:CAPZA1:MTMR11:KCNN3:PAPPA2:PTPN14:KCNQ1:NUCB2:RHOD:CCND1:PDE3A:CCDC91:NUP37:IGF1:FAM101A:GPR133:DLEU1:SMAD3:LOXL1:SH3GL3:ADAMTSL3:ZSCAN2:ACAN:IGF1R:ADAMTS17:CASKIN1:DOC2A:ACBD4:ZNF652:STRADA:CSH2:CD79B:INSR:ADAMTS10:MYO9B:GATAD2A:ADCY3:DNAJC27:EFR3B:LTBP1:EFEMP1:ANTXR1:USP37:PLCD4:TTLL4:TNRC6B:HEMK1:DOCK3:ITIH3:SFMBT1:RFT1:CACNA1D:FLNB:FOXP1:MSL2:PCCB:STAG1:CLOCK:REST:ADAMTS3:NPR3:NIPBL:GHR:MEF2C:FER:CEP120:FBN2:SLIT3:FGFR4:NSD1:NUDT3:C6orf106:ANKS1A:PPARD:FANCE:SUPT3H:RUNX2:LIN28B:CENPW:L3MBTL3:GPR126:IGFBP3:PLAG1:SDR16C5:GLIS3:DCAF12:PCSK5:C9orf64:CENPP:IPPK:PTCH1:PAPPA:LHX3:QSOX2,,3.8225212570141435e-15
12,GWAScatalog,Schizophrenia,406,94,6.611539216398729e-17,2.3999887355527383e-14,SEC16B:PARD3:C10orf32:C10orf32-ASMT:AS3MT:CNNM2:NT5C2:ARNTL:CACNA1C:VPS13C:ADAMTSL3:ZSCAN2:WDR73:NMB:SEC11A:ZNF592:ALPK3:ASPHD1:KCTD13:TMEM219:TAOK2:HIRIP3:INO80E:DOC2A:C16orf92:FAM57B:ALDOA:PPP4C:TBX6:YPEL3:GDPD3:MAPK3:RLTPR:GFOD2:RANBP10:TSNAXIP1:CENPT:NUTF2:EDC4:PSKH1:DPEP2:DUS2:NFATC3:SLC7A6:SLC7A6OS:MSI2:NCAN:HAPLN4:TM6SF2:SUGP1:MAU2:GATAD2A:TSSK6:NDUFA13:YJEFN3:CILP2:ZNF536:PLCL1:SATB2:SPATS2L:AGAP1:HYAL3:ALAS1:TLR9:TLR9:PPM1M:WDR82:GLYCTK:SEMA3G:STAB1:NT5DC2:SMIM4:PBRM1:GNL3:GLT8D1:SPCS1:NEK4:ITIH1:ITIH3:SFMBT1:RFT1:FOXP1:PPP2R3A:MSL2:PCCB:STAG1:ZSWIM6:ADAMTS6:MEF2C:FAM53C:KDM3B:LIN28B:FOXO3:CSMD1:FGFR1,,5.519974091771298e-13
13,GWAScatalog,Waist circumference adjusted for BMI (joint analysis main effects and physical activity interaction),59,28,8.747185159298829e-14,2.626647285702884e-11,MFAP2:ATP13A2:WNT2B:TBX15:MTMR11:KCNQ1:NUCB2:CCDC91:CCDC92:LOXL1:ADAMTSL3:ZSCAN2:ACAN:LRRC36:LTBP1:EFEMP1:PBRM1:ITIH1:ADAMTS3:NPR3:MAP3K1:MEF2C:FGFR4:NSD1:LIN28B:GPR126:ITGB8:PTCH1,,6.041288757116633e-10
14,GWAScatalog,Waist circumference adjusted for body mass index,114,40,1.0130320110148865e-13,2.626647285702884e-11,MFAP2:ATP13A2:WNT2B:TBX15:WARS2:MTMR11:KCNN3:KCNQ1:NUCB2:CCDC91:SMAD3:LOXL1:ADAMTSL3:ZSCAN2:ACAN:ADAMTS17:KCTD19:LRRC36:ADAMTS10:LTBP1:EFEMP1:NT5DC2:PBRM1:ITIH1:PPP2R3A:ADAMTS3:NPR3:MAP3K1:MEF2C:FER:FGFR4:NSD1:ANKS1A:LIN28B:GPR126:ITGB8:TRPM3:PCSK5:PTCH1:QSOX2,,6.041288757116633e-10
15,GWAScatalog,Waist circumference adjusted for BMI in active individuals,56,27,1.5117045793878104e-13,3.429679764486095e-11,MFAP2:ATP13A2:TBX15:MTMR11:KCNQ1:NUCB2:CCDC91:CCDC92:LOXL1:ADAMTSL3:ZSCAN2:ACAN:LRRC36:LTBP1:EFEMP1:PBRM1:ITIH1:ADAMTS3:NPR3:MAP3K1:MEF2C:FGFR4:NSD1:LIN28B:GPR126:ITGB8:PTCH1,,7.888263458318019e-10
16,GWAScatalog,Waist circumference adjusted for BMI (adjusted for smoking behaviour),59,26,5.9511127527216484e-12,1.2001410717988655e-09,KIF1B:MFAP2:TBX15:WARS2:CCDC91:SMAD3:LOXL1:ADAMTSL3:ACAN:ADAMTS17:KCTD19:ADAMTS10:LTBP1:EFEMP1:DOCK3:NT5DC2:ADAMTS3:MAP3K1:FER:FGFR4:ANKS1A:LIN28B:GPR126:ITGB8:PCSK5:PTCH1,,2.7603244651373906e-08
17,GWAScatalog,Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction),57,25,1.7519005116209275e-11,3.1796994285919833e-09,KIF1B:MFAP2:TBX15:WARS2:CCDC91:SMAD3:LOXL1:ADAMTSL3:ACAN:KCTD19:ADAMTS10:LTBP1:EFEMP1:DOCK3:NT5DC2:ADAMTS3:MAP3K1:FER:FGFR4:ANKS1A:LIN28B:GPR126:ITGB8:PCSK5:PTCH1,,7.313308685761562e-08
18,GWAScatalog,Waist circumference adjusted for BMI in non-smokers,49,22,1.6973860212352123e-10,2.8006869350381004e-08,KIF1B:MFAP2:TBX15:WARS2:CCDC91:SMAD3:LOXL1:ADAMTSL3:ACAN:KCTD19:ADAMTS10:LTBP1:EFEMP1:DOCK3:ADAMTS3:MAP3K1:FGFR4:LIN28B:GPR126:ITGB8:PCSK5:PTCH1,,6.441579950587631e-07
19,GWAScatalog,Hip circumference adjusted for BMI,105,31,8.808352343468902e-09,1.3322632919496714e-06,ATP13A2:MOV10:MTMR11:PRRX1:AKR1C4:PARD3:DCDC1:CCDC91:FAM101A:DLEU1:IQCH:SH3GL3:ADAMTSL3:ACAN:ADAMTS17:DDX42:INSR:LTBP1:EFEMP1:RFT1:ADAMTS3:NPR3:GMDS:C6orf106:UHRF1BP1:LIN28B:CENPW:L3MBTL3:GPR126:PLAG1:PTCH1,,3.0642055714842444e-05
20,GWAScatalog,Bipolar disorder,276,57,1.918636891515866e-08,2.6787122754625363e-06,PTGFR:KCNN3:ZBTB7B:ADAM15:CTSF:CCS:RBM4:SPTBN2:C11orf80:PC:CACNA1C:SMAD3:AAGAB:IQCH:ZSCAN2:WDR73:NMB:SEC11A:ZNF592:ALPK3:SLC28A1:VKORC1:NCAN:HAPLN4:TM6SF2:SUGP1:MAU2:GATAD2A:TSSK6:NDUFA13:YJEFN3:CILP2:ALAS1:TLR9:TLR9:PPM1M:WDR82:GLYCTK:SEMA3G:STAB1:NT5DC2:SMIM4:PBRM1:GNL3:GLT8D1:SPCS1:NEK4:ITIH1:ITIH3:SFMBT1:RFT1:FAM53C:KDM3B:HBEGF:SLIT3:AUTS2:FGFR1:UBE2R2,,6.161038233563833e-05
21,GWAScatalog,Bipolar II disorder,14,10,5.3683615338091394e-08,6.959697274188276e-06,NCAN:HAPLN4:TM6SF2:SUGP1:MAU2:GATAD2A:TSSK6:NDUFA13:YJEFN3:CILP2,,0.00016007303730633033
22,GWAScatalog,Carpal tunnel syndrome,9,8,6.807433712809978e-08,8.236994792500071e-06,COL11A1:SMAD6:ADAMTS17:ADAMTS10:LTBP1:EFEMP1:DIRC3:AOC1,,0.00018945088022750164
