,Category,GeneSet,N_genes,N_overlap,p,adjP,genes,link,corrected_P
0,GWAScatalog,Neutrophil percentage of granulocytes,89,13,1.3934479613377564e-10,2.529108049828028e-07,RERE:TIRAP:STAT6:COG6:ITPKA:BPTF:RSPH6A:LPP:BAK1:RFX6:ELMO1:ZNF398:GKAP1,,5.8169485146044645e-06
1,GWAScatalog,"Allergic disease (asthma, hay fever or eczema)",150,15,1.1045440604202343e-09,1.002373734831363e-06,RERE:STAT6:OIP5:NUSAP1:NDUFAF1:RTF1:ITPKA:IQGAP1:SLC9A4:LPP:FAM114A1:UGT3A1:IL13:ITPR3:ABCB5,,2.3054595901121348e-05
2,GWAScatalog,Eosinophil percentage of white cells,92,11,3.717076132750394e-08,2.119786882671962e-05,RERE:STAT6:COG6:NDUFAF1:BPTF:RSPH6A:LPP:BAK1:ELMO1:ZNF398:GKAP1,,0.0004875509830145513
3,GWAScatalog,Perceived unattractiveness to mosquitoes,9,5,5.530801182749367e-08,2.119786882671962e-05,STAT6:CDC42SE2:RAPGEF6:ACSL6:IL3,,0.0004875509830145513
4,GWAScatalog,Eosinophil percentage of granulocytes,96,11,5.839633285597692e-08,2.119786882671962e-05,RERE:TIRAP:STAT6:COG6:RTF1:BPTF:RSPH6A:LPP:ELMO1:ZNF398:GKAP1,,0.0004875509830145513
5,GWAScatalog,Hodgkin's lymphoma,14,5,8.324988213348483e-07,0.0002266347418748,LPP:IL13:ITPR3:UQCC2:IP6K3,,0.0052125990631204005
6,GWAScatalog,Eosinophil counts,125,11,8.961380192427813e-07,0.0002266347418748,RERE:STAT6:COG6:BPTF:LPP:RAPGEF6:FNIP1:BAK1:ABCB5:ELMO1:ZNF398,,0.0052125990631204005
7,GWAScatalog,Ulcerative colitis,248,15,9.989410110184252e-07,0.0002266347418748,OIP5:NUSAP1:NDUFAF1:RTF1:ITPKA:HINT1:CDC42SE2:RAPGEF6:FNIP1:ACSL6:IL3:CSF2:IRF1:IRF5:NOTCH1,,0.0052125990631204005
8,GWAScatalog,Sum eosinophil basophil counts,111,10,2.3951170741059304e-06,0.0004830152766113,RERE:STAT6:COG6:BPTF:LPP:RAPGEF6:FNIP1:BAK1:ELMO1:ZNF398,,0.0111093513620599
9,GWAScatalog,Itch intensity from mosquito bite,31,6,3.31760397276307e-06,0.0006021451210564,STAT6:RTF1:LPP:CDC42SE2:FNIP1:IRF1,,0.013849337784297202
15,Positional_gene_sets,chr5q31,55,8,6.837385352080627e-07,0.0002044378220272,CDC42SE2:RAPGEF6:FNIP1:ACSL6:IL3:CSF2:IRF1:IL13,http://www.gsea-msigdb.org/gsea/msigdb/cards/chr5q31,0.0047020699066256
16,Positional_gene_sets,chr15q15,23,5,1.2695089078239276e-05,0.0018979158171967,OIP5:NUSAP1:NDUFAF1:RTF1:ITPKA,http://www.gsea-msigdb.org/gsea/msigdb/cards/chr15q15,0.0436520637955241
