Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
GO_bp	GO_SENSORY_PERCEPTION_OF_SMELL	37	12	6.762469826351974e-12	4.970415322368701e-08	OR10R2:OR6Y1:OR6P1:OR10X1:OR6K2:OR6K3:OR6F1:OR14A2:OR14K1:OR1C1:OR14A16:OR11L1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_SENSORY_PERCEPTION_OF_SMELL
GO_bp	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	50	12	3.510119679593218e-10	1.2899689822505077e-06	OR10R2:OR6Y1:OR6P1:OR10X1:OR6K2:OR6K3:OR6F1:OR14A2:OR14K1:OR1C1:OR14A16:OR11L1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS
GO_bp	GO_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	53	12	7.309416651418785e-10	1.790807079597602e-06	OR10R2:OR6Y1:OR6P1:OR10X1:OR6K2:OR6K3:OR6F1:OR14A2:OR14K1:OR1C1:OR14A16:OR11L1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION
GO_bp	GO_DETECTION_OF_STIMULUS	85	12	2.0283574435309733e-07	0.00037271068024881637	OR10R2:OR6Y1:OR6P1:OR10X1:OR6K2:OR6K3:OR6F1:OR14A2:OR14K1:OR1C1:OR14A16:OR11L1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_DETECTION_OF_STIMULUS
GO_bp	GO_SENSORY_PERCEPTION	142	14	1.7081028494785097e-06	0.0025109111887334093	OR10R2:OR6Y1:OR6P1:OR10X1:OR6K2:OR6K3:OR6F1:OR14A2:OR14K1:OR1C1:OR14A16:OR11L1:CDKN2D:GPX1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_SENSORY_PERCEPTION
GO_bp	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	270	19	3.7915049921799953e-06	0.004644593615420494	OR10R2:OR6Y1:OR6P1:OR10X1:OR6K2:OR6K3:ATP2B4:OR6F1:OR14A2:OR14K1:OR1C1:OR14A16:OR11L1:PRMT5:CCL5:SPHK1:S1PR5:CELSR3:CAV1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY
GWAScatalog	High light scatter reticulocyte percentage of red cells	113	13	7.043142385390345e-07	0.0010586298948963046	CD82:FERMT3:CBL:BAZ1A:MYO1D:SPHK1:AANAT:KANK2:PPP1R15A:PELO:CAV1:CA1:SEMA4D	
GWAScatalog	High light scatter reticulocyte count	118	13	1.1665343194449636e-06	0.0010586298948963046	CD82:FERMT3:CBL:BAZ1A:MYO1D:SPHK1:AANAT:KANK2:PPP1R15A:PELO:CAV1:CA1:SEMA4D	
GWAScatalog	Blood trace element (Cu levels)	6	4	3.051464387802377e-06	0.0016238232559107081	CCDC27:LRRC47:CEP104:DFFB	
GWAScatalog	Red cell distribution width	151	14	3.5786738422274558e-06	0.0016238232559107081	CCDC27:LRRC47:ATP2B4:CD82:MYO1D:WIPI1:FOXK2:AP1M2:KANK2:PPP1R15A:NKD2:FAM114A2:NKX6-3:CRAT	
