Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
GO_bp	GO_FLAVONOID_GLUCURONIDATION	9	9	1.9407170672661482e-12	7.132135222203095e-09	UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_FLAVONOID_GLUCURONIDATION
GO_bp	GO_XENOBIOTIC_GLUCURONIDATION	9	9	1.9407170672661482e-12	7.132135222203095e-09	UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_XENOBIOTIC_GLUCURONIDATION
GO_bp	GO_URONIC_ACID_METABOLIC_PROCESS	10	9	1.855230112350971e-11	4.545313775259879e-08	UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_URONIC_ACID_METABOLIC_PROCESS
GO_bp	GO_FLAVONOID_METABOLIC_PROCESS	11	9	9.754419856684892e-11	1.792374648665849e-07	UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_FLAVONOID_METABOLIC_PROCESS
GO_bp	GO_PIGMENT_METABOLIC_PROCESS	23	11	3.6269367259099066e-09	5.331596987087563e-06	TYR:PMEL:DCT:UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A4:UGT1A1:ASIP:TYRP1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_PIGMENT_METABOLIC_PROCESS
GO_bp	GO_XENOBIOTIC_METABOLIC_PROCESS	27	11	2.9163782473865243e-08	3.572563353048492e-05	CYP1B1:UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1:AHR	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_XENOBIOTIC_METABOLIC_PROCESS
GO_bp	GO_FLAVONE_METABOLIC_PROCESS	5	5	3.2442262767608364e-07	0.0003406437590598878	UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_FLAVONE_METABOLIC_PROCESS
GO_bp	GO_RETINOIC_ACID_METABOLIC_PROCESS	8	6	4.144644201758333e-07	0.0003807891860365469	ALDH1A2:UGT1A8:UGT1A9:UGT1A7:UGT1A3:UGT1A1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_RETINOIC_ACID_METABOLIC_PROCESS
GO_bp	GO_CELLULAR_RESPONSE_TO_XENOBIOTIC_STIMULUS	41	11	3.7456815911153843e-06	0.0030589732994108975	CYP1B1:UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1:AHR	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CELLULAR_RESPONSE_TO_XENOBIOTIC_STIMULUS
GO_bp	GO_PIGMENTATION	32	9	1.938190713419061e-05	0.014245701743630098	HPS5:TYR:PMEL:KITLG:DCT:EN1:ASIP:MITF:TYRP1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_PIGMENTATION
