Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
GWAScatalog	Mean platelet volume	171	58	1.1394498649394005e-48	2.068101504865012e-45	TESK2:PEAR1:TAGLN2:GCSAML:ODF3:PSMD13:STIM1:ARAP1:BAZ2A:PTGES3:TMEM120B:RHOF:GRTP1:SAV1:ACTN1:DCAF5:RCOR1:EXOC3L4:BRF1:TPM1:SEC14L5:PLCG2:GP1BA:SPAG7:SLFN14:AP2B1:ITGA2B:DOK6:CD226:RTTN:TPM4:RAB8A:FXYD5:PVR:EXOC3L2:GP6:EHD3:RALB:ANKMY1:RNPEPL1:SIRPD:SIRPB1:SIRPA:NELFCD:TUBB1:A4GALT:BRD1:WDR49:KIAA0232:SLC12A7:ELOVL7:IQGAP2:F2R:TBCA:RNF145:DDO:CAPZA2:ZFPM2	
GWAScatalog	Platelet distribution width	111	43	2.7851686794443327e-38	2.527540576595732e-35	TESK2:DOCK7:PEAR1:TAGLN2:GCSAML:STIM1:TUBA1C:ATP5B:TMEM120B:RHOF:GRTP1:ATG14:ACTN1:EXOC3L4:BRF1:TPM1:RAB11FIP3:SEC14L5:PLCG2:GP1BA:SLFN14:AP2B1:ITGA2B:PPP4R1:CD226:RTTN:TPM4:FXYD5:GP6:EHD3:NCK2:RNPEPL1:SIRPD:NELFCD:TUBB1:A4GALT:ANKRD28:SLC12A7:IQGAP2:F2R:DDO:CAPZA2:ZFPM2	
GWAScatalog	Platelet count	225	47	3.98749346423795e-28	2.41243354586396e-25	TESK2:TPM3:PEAR1:GCSAML:ODF3:SIRT3:PSMD13:FEN1:BAZ2A:PTGES3:TMEM120B:RHOF:GRTP1:ACTN1:RCOR1:EXOC3L4:BRF1:TPM1:PLEKHO2:RAB11FIP3:GP1BA:SLFN12L:SLFN14:AP2B1:ITGA2B:TPM4:FXYD5:SPINT2:EXOC3L2:EHD3:RALB:RNPEPL1:SIRPA:TUBB1:EWSR1:ABHD6:ZMAT3:ABCC5:KIAA0232:IQGAP2:F2R:RNF145:FABP6:DDO:CCDC71L:CAPZA2:ZFPM2	
GWAScatalog	Alzheimer's disease or HDL levels (pleiotropy)	36	9	8.922119398089729e-07	0.0004048411676883215	IGSF23:PVR:GEMIN7:NKPD1:EXOC3L2:CKM:KLC3:ERCC2:PPP1R13L	
GWAScatalog	Plateletcrit	140	16	4.5414345738387255e-06	0.0016485407503034574	TESK2:GCSAML:PRIM1:TMEM120B:RHOF:RCOR1:EXOC3L4:SLFN14:CD226:TPM4:EHD3:SIRPD:TUBB1:SNX24:CAPZA2:ZFPM2	
GWAScatalog	Alzheimer's disease or family history of Alzheimer's disease	31	7	3.192951440723634e-05	0.009658678108188995	APH1B:IGSF23:PVR:GEMIN7:NKPD1:EXOC3L2:CKM	
GWAScatalog	Body mass index x age interaction	24	6	6.509679499322174e-05	0.016878668987528208	IGSF23:PVR:GEMIN7:EXOC3L2:CKM:KLC3	
Chemical_and_Genetic_pertubation	NIKOLSKY_BREAST_CANCER_22Q13_AMPLICON	6	4	1.229946096887861e-05	0.04061282011923717	BRD1:ZBED4:ALG12:CRELD2	http://www.gsea-msigdb.org/gsea/msigdb/cards/NIKOLSKY_BREAST_CANCER_22Q13_AMPLICON
Positional_gene_sets	chr1q23	29	9	1.1409303697540329e-07	3.411381805564559e-05	PEAR1:LRRC71:ARHGEF11:TAGLN2:PFDN2:DEDD:UFC1:PPOX:B4GALT3	http://www.gsea-msigdb.org/gsea/msigdb/cards/chr1q23
Positional_gene_sets	chr18q22	3	3	2.85499859085187e-05	0.004268222893323546	DOK6:CD226:RTTN	http://www.gsea-msigdb.org/gsea/msigdb/cards/chr18q22
Positional_gene_sets	chr14q22	9	4	9.608666632124011e-05	0.009576637743350264	SAV1:DLGAP5:FBXO34:ATG14	http://www.gsea-msigdb.org/gsea/msigdb/cards/chr14q22
Positional_gene_sets	chr19q13	133	13	0.00019189625680683228	0.014344245196310713	FXYD5:SPINT2:IGSF23:PVR:GEMIN7:NKPD1:EXOC3L2:CKM:KLC3:ERCC2:PPP1R13L:GP6:RDH13	http://www.gsea-msigdb.org/gsea/msigdb/cards/chr19q13
Positional_gene_sets	chr12q13	81	9	0.0007604390889267437	0.04547425751781928	TUBA1C:SPATS2:GPR84:ZNF385A:BAZ2A:ATP5B:PTGES3:NACA:PRIM1	http://www.gsea-msigdb.org/gsea/msigdb/cards/chr12q13
Curated_gene_sets	REACTOME_HEMOSTASIS	193	20	1.282968988018141e-06	0.0070576124030877945	DOCK7:TAGLN2:STIM1:TUBA1C:ORAI1:ACTN1:RCOR1:PLCG2:GP1BA:ITGA2B:KLC3:GP6:EHD3:GPC1:SIRPA:TUBB1:ABHD6:F2R:CAPZA2:ZFPM2	http://www.gsea-msigdb.org/gsea/msigdb/cards/REACTOME_HEMOSTASIS
Curated_gene_sets	NIKOLSKY_BREAST_CANCER_22Q13_AMPLICON	6	4	1.229946096887861e-05	0.03382966739490062	BRD1:ZBED4:ALG12:CRELD2	http://www.gsea-msigdb.org/gsea/msigdb/cards/NIKOLSKY_BREAST_CANCER_22Q13_AMPLICON
Reactome	REACTOME_HEMOSTASIS	193	20	1.282968988018141e-06	0.0019231705130391937	DOCK7:TAGLN2:STIM1:TUBA1C:ORAI1:ACTN1:RCOR1:PLCG2:GP1BA:ITGA2B:KLC3:GP6:EHD3:GPC1:SIRPA:TUBB1:ABHD6:F2R:CAPZA2:ZFPM2	http://www.gsea-msigdb.org/gsea/msigdb/cards/REACTOME_HEMOSTASIS
Canonical_Pathways	REACTOME_HEMOSTASIS	193	20	1.282968988018141e-06	0.0028212488046518926	DOCK7:TAGLN2:STIM1:TUBA1C:ORAI1:ACTN1:RCOR1:PLCG2:GP1BA:ITGA2B:KLC3:GP6:EHD3:GPC1:SIRPA:TUBB1:ABHD6:F2R:CAPZA2:ZFPM2	http://www.gsea-msigdb.org/gsea/msigdb/cards/REACTOME_HEMOSTASIS
