,Category,GeneSet,N_genes,N_overlap,p,adjP,genes,link,corrected_P
0,GO_bp,GO_TRANSITION_METAL_ION_HOMEOSTASIS,38,13,4.605552502019353e-07,0.0016977507434371,EGLN1:TMC8:HAMP:COMMD1:SLC40A1:FAM132B:TMPRSS6:SCO2:TF:TFRC:FBXL5:TFR2:ACO1,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_TRANSITION_METAL_ION_HOMEOSTASIS,0.0390482670990533
1,GO_bp,GO_CELLULAR_IRON_ION_HOMEOSTASIS,22,10,4.619729914114588e-07,0.0016977507434371,EGLN1:HAMP:SLC40A1:FAM132B:TMPRSS6:TF:TFRC:FBXL5:TFR2:ACO1,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CELLULAR_IRON_ION_HOMEOSTASIS,0.0390482670990533
4,GWAScatalog,Mean corpuscular hemoglobin,206,81,7.360993650800923e-45,1.3360203476203674e-41,TRIM33:SPTA1:PTPRC:TMCC2:TRAF3IP3:TRIM58:OR2W3:ALOX5:ZFAND4:FAM21C:TIMM23:HK1:PPRC1:C11orf21:CSRP3:C11orf65:C12orf44:SP7:UNC119B:PSMB5:C14orf37:PSMA3:ELMSAN1:PTPLAD1:SLC24A1:NPRL3:HBZ:HBA1:LUC7L:ITFG3:ITFG3:RGS11:SETD1A:CDH1:SPECC1:FAM222B:ERAL1:FLOT2:TMC6:C18orf25:MAST1:KLF1:DAND5:PDCD5:USF2:RAB10:RMND5A:SLC40A1:ILKAP:PCIF1:RBM38:MN1:FBXO7:TMPRSS6:PNPLA3:NCAPH2:SCO2:TYMP:KLHDC7B:SYCE3:PLCL2:LRIG1:CGGBP1:NPHP3:TF:ATR:PLS1:TFRC:CC2D2A:MRPL22:CPEB4:GMPR:CEP57L1:SLC16A10:ZMIZ2:MOSPD3:TFR2:ACTL6B:EPHB4:MTDH:ANP32B:GFI1B,,3.072846799526845e-40
5,GWAScatalog,Mean corpuscular volume,215,77,4.63121988774091e-39,4.202832048124876e-36,TAL1:SPTA1:PTPRC:TMCC2:TRAF3IP3:TRIM58:ALOX5:ZFAND4:FAM21C:TIMM23:HK1:C11orf21:CSRP3:C11orf65:KDELC2:APOA5:C12orf44:UNC119B:ACADS:ATP11A:PSMB5:C14orf37:PSMA3:CCDC176:NPRL3:HBZ:HBA1:LUC7L:ITFG3:ITFG3:FBXL19:KIAA0895L:CDH1:SPECC1:FAM222B:ERAL1:TMC6:C18orf25:RTBDN:DNASE2:KLF1:DAND5:PDCD5:USF2:RAB10:COMMD1:RMND5A:ILKAP:MYLK2:TOX2:PCIF1:RBM38:MN1:FBXO7:TMPRSS6:PNPLA3:TYMP:SYCE3:PLCL2:LRIG1:NPHP3:TF:ATR:TFRC:SLC2A9:CC2D2A:CPEB4:GMPR:SESN1:CEP57L1:SLC16A10:H2AFV:TFR2:ACTL6B:EPHB4:DOK2:SLC20A2:GFI1B,,9.666513710687216e-35
6,GWAScatalog,Red blood cell count,163,48,6.021249696274466e-20,3.642856066246052e-17,SMIM1:PTPRC:CNTN2:TRAF3IP3:PROX1:EGLN1:TRIM58:HK1:CSRP3:ATM:KDELC2:ACADS:NRG4:NPRL3:HBZ:HBA1:ITFG3:ITFG3:FLOT2:TMC6:C18orf25:MAST1:KLF1:DAND5:LSR:PSD4:TFCP2L1:SLC40A1:TOX2:FBXO7:TMPRSS6:FBLN1:TYMP:KLHDC7B:PLCL2:ATR:CC2D2A:VEGFA:CEP57L1:RSPO3:ZMIZ2:MOSPD3:TFR2:ACTL6B:EPO:PRKAG2:ACO1:ANP32B:AK1,,8.37856895236592e-16
7,GWAScatalog,Red cell distribution width,151,43,2.5843249433596386e-17,1.172637443049436e-14,SMIM1:SPTA1:DSTYK:TRIM58:OR2W3:HK1:BUD13:ZNF259:UNC119B:ACADS:ATP11A:PSMB5:CDH24:C14orf37:CCDC176:ACSBG1:DNAJA4:LUC7L:CDH3:FAM222B:TMC6:C18orf25:DNASE2:PDCD5:ANKRD27:USF2:HAMP:APOE:APOC1:ILKAP:FBXO7:TMPRSS6:PNPLA3:TYMP:DNAJC13:TF:ATR:TFRC:CPEB4:TFR2:ACTL6B:MTDH:GFI1B,,2.6970661190137027e-13
8,GWAScatalog,Mean corpuscular hemoglobin concentration,75,27,5.4374130809568827e-14,1.973780948387348e-11,SMIM1:SPTA1:PTPRC:TMCC2:TRIM58:ZNF259:APOA5:PTPLAD1:ACSBG1:NPRL3:HBZ:HBA1:LUC7L:ITFG3:ITFG3:ODF4:FAM222B:KLF1:SLC40A1:FAM132B:KCTD17:TMPRSS6:TF:TFRC:GMPR:TFR2:SLC20A2:SMIM19,,4.539696181290901e-10
9,GWAScatalog,Reticulocyte fraction of red cells,119,30,7.140750023689584e-11,2.1600768821660993e-08,SMIM1:SPTA1:TMCC2:TRIM58:OR2W3:HK1:ZNF259:ATP11A:PSMB5:ELMSAN1:DNAJA4:NPRL3:HBA1:CDH1:TMC6:TMC8:EIF4A3:KLF1:APOE:RMND5A:RBM38:TMPRSS6:ATR:TFRC:GMPR:ATXN1:VEGFA:BZW2:TFR2:GFI1B,,4.968176828982029e-07
10,GWAScatalog,Hemoglobin concentration,76,23,2.5437899897447166e-10,6.595684044838086e-08,PROX1:EGLN1:TRIM58:HK1:C12orf43:ELMSAN1:NRG4:LUC7L:EGLN2:RCN3:PSD4:TFCP2L1:TMPRSS6:PNPLA3:FBLN1:GMPR:VEGFA:RSPO3:TFR2:EPO:PRKAG2:ACO1:AK1,,1.5170073303127599e-06
11,GWAScatalog,Reticulocyte count,115,28,7.655674775082558e-10,1.5709786987824878e-07,SMIM1:SPTA1:DSTYK:TRIM58:OR2W3:HK1:ZNF259:PSMB5:ELMSAN1:DNAJA4:CDH1:NEK8:TMC6:EIF4A3:C18orf25:KLF1:DAND5:APOE:RMND5A:RBM38:TMPRSS6:TYMP:ATR:GMPR:ATXN1:VEGFA:BZW2:GFI1B,,3.613251007199722e-06
