Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
GWAScatalog	Low density lipoprotein cholesterol levels	32	11	7.559093279075657e-06	0.00832598831999919	CELSR2:PSRC1:DHODH:TXNL4B:HP:HPR:PMFBP1:LDLR:SPC24:APOC2:ZNF618	
GWAScatalog	Hippocampal volume in Alzheimer's disease dementia	17	8	9.17464277685861e-06	0.00832598831999919	IL34:APOC4-APOC2:APOC4:APOC2:CLPTM1:RELB:AKAP9:LRRD1	
GWAScatalog	Cerebrospinal fluid t-tau levels in mild cognitive impairment	11	6	4.549162778786618e-05	0.02752243481165904	APOC4-APOC2:APOC4:APOC2:CLPTM1:RELB:AKAP9	
GWAScatalog	Very long-chain saturated fatty acid levels (fatty acid 20:0)	17	7	9.826445595597422e-05	0.04458749689002331	CDH11:ITGB3:ITGB3:NPEPPS:KPNB1:APOC4:APOC2:CLPTM1	
Positional_gene_sets	chr1p35	11	6	4.549162778786618e-05	0.008897807179946449	PUM1:HCRTR1:PEF1:COL16A1:S100PBP:CSMD2	http://www.gsea-msigdb.org/gsea/msigdb/cards/chr1p35
Positional_gene_sets	chr19q13	133	23	5.9517104882584943e-05	0.008897807179946449	LIN37:ZNF420:LTBP4:NUMBL:ADCK4:ITPKC:TMEM91:B9D2:BCKDHA:EXOSC5:B3GNT8:ATP5SL:PHLDB3:ZNF575:APOC4-APOC2:APOC4:APOC2:CLPTM1:RELB:SCAF1:IRF3:BCL2L12:IL11	http://www.gsea-msigdb.org/gsea/msigdb/cards/chr19q13
Positional_gene_sets	chr2q37	35	10	0.00011933024568692335	0.011893247820130027	B3GNT7:ALPP:ALPPL2:PRSS56:CHRND:GIGYF2:KCNJ13:C2orf82:NGEF:AC104809.3	http://www.gsea-msigdb.org/gsea/msigdb/cards/chr2q37
Positional_gene_sets	chr2p21	14	6	0.00024534687834533897	0.018339679156314088	ABCG5:SLC3A1:PREPL:ATP6V1E2:RHOQ:LINC01118	http://www.gsea-msigdb.org/gsea/msigdb/cards/chr2p21
Positional_gene_sets	chr15q24	39	10	0.0003186099714147504	0.018514749861984963	UBL7:ARID3B:C15orf39:COMMD4:NEIL1:MAN2C1:SIN3A:PTPN9:IMP3:ETFA	http://www.gsea-msigdb.org/gsea/msigdb/cards/chr15q24
Positional_gene_sets	chr7p11	3	3	0.00037153344204652103	0.018514749861984963	GBAS:PSPH:CCT6A	http://www.gsea-msigdb.org/gsea/msigdb/cards/chr7p11
