"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0032501",2.28625091142025e-05,0.321475290697674,34.0697074010327,18,1298,"multicellular organismal process"
"2","GO:0007165",4.65547306572255e-05,0.310110584518167,28.0327022375215,13,1068,"signal transduction"
"3","GO:0007154",0.000115754892146333,0.347785547785548,30.447504302926,16,1160,"cell communication"
"4","GO:0007275",0.000183168004235778,0.340229312063809,26.6678141135972,13,1016,"multicellular organism development"
"5","GO:0051716",0.000230850841991532,0.38004295137291,33.9122203098107,20,1292,"cellular response to stimulus"
"6","GO:0023052",0.000351401005351024,0.380602073365231,30.368760757315,17,1157,"signaling"
"7","GO:0050896",0.000455176300368501,0.407144542308902,39.9754733218589,27,1523,"response to stimulus"
"8","GO:0042221",0.000495039188368105,0.348333333333333,23.2818416523236,11,887,"response to chemical"
"9","GO:0071495",0.000875741155034701,0.0979736575481256,8.6617900172117,1,330,"cellular response to endogenous stimulus"
"10","GO:0048731",0.00114326204805551,0.391041216702664,24.6467297762478,13,939,"system development"
"11","GO:0009719",0.00119094845337161,0.165872175141243,10.131669535284,2,386,"response to endogenous stimulus"
"12","GO:0051173",0.00197888611149485,0.352127157028927,18.0322719449225,8,687,"positive regulation of nitrogen compound metabolic process"
"13","GO:0032502",0.00229198210234436,0.448796948356808,30.316265060241,19,1155,"developmental process"
"14","GO:1901701",0.0025466212740258,0.113390804597701,7.6381239242685,1,291,"cellular response to oxygen-containing compound"
"15","GO:0009893",0.00265489706002029,0.401548064918851,21.3132530120482,11,812,"positive regulation of metabolic process"
"16","GO:0010033",0.00287428259634617,0.380133637548892,18.8197074010327,9,717,"response to organic substance"
"17","GO:0007166",0.00312520512533578,0.368182600217927,17.4810671256454,8,666,"cell surface receptor signaling pathway"
"18","GO:0044271",0.00322193168460849,0.418819503849444,22.2319277108434,12,847,"cellular nitrogen compound biosynthetic process"
"19","GO:0010604",0.00362066811975726,0.40193435864912,19.7383820998279,10,752,"positive regulation of macromolecule metabolic process"
"20","GO:0070887",0.00370063406509358,0.38967175066313,18.5047332185886,9,705,"cellular response to chemical stimulus"
"21","GO:1901700",0.00386977999505666,0.243861024033438,10.4728915662651,3,399,"response to oxygen-containing compound"
"22","GO:0098609",0.00542770959907084,0,4.93459552495697,0,188,"cell-cell adhesion"
"23","GO:0031325",0.005543983390405,0.419352206902178,19.1871772805508,10,731,"positive regulation of cellular metabolic process"
"24","GO:0019438",0.00575083181914415,0.432503276539974,20.315834767642,11,774,"aromatic compound biosynthetic process"
"25","GO:0018130",0.00634174509831825,0.436807387862797,20.184595524957,11,769,"heterocycle biosynthetic process"
"26","GO:0045597",0.00771341322749098,0.135416666666667,6.53571428571429,1,249,"positive regulation of cell differentiation"
"27","GO:0034654",0.00799008271131232,0.447372654155496,19.8696213425129,11,757,"nucleobase-containing compound biosynthetic process"
"28","GO:0071310",0.00980699638900409,0.416473390584843,16.0111876075731,8,610,"cellular response to organic substance"
"29","GO:0032870",0.00994240163757997,0,4.38339070567986,0,167,"cellular response to hormone stimulus"
"30","GO:0051240",0.0101949817878278,0.320013793698004,10.7878657487091,4,411,"positive regulation of multicellular organismal process"
