"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0006334",2.94148436837181e-09,21.2633928571429,1.23450946643718,11,19,"nucleosome assembly"
"2","GO:0031497",7.61036365917466e-07,9.40674603174603,1.8842512908778,11,29,"chromatin assembly"
"3","GO:0031935",1.71745786031982e-06,44.9172413793103,0.519793459552496,6,8,"regulation of chromatin silencing"
"4","GO:0031936",1.71745786031982e-06,44.9172413793103,0.519793459552496,6,8,"negative regulation of chromatin silencing"
"5","GO:0060968",2.15381205881739e-06,9.56117021276596,1.68932874354561,10,26,"regulation of gene silencing"
"6","GO:0060969",2.18261558316636e-06,15.1398601398601,1.03958691910499,8,16,"negative regulation of gene silencing"
"7","GO:0034728",4.73214976043934e-06,7.34472049689441,2.20912220309811,11,34,"nucleosome organization"
"8","GO:0006342",1.76398936159559e-05,13.1553819444444,0.974612736660929,7,15,"chromatin silencing"
"9","GO:0006323",4.48830651397951e-05,5.42903225806452,2.7289156626506,11,42,"DNA packaging"
"10","GO:0016584",5.18304153793299e-05,24.7716894977169,0.519793459552496,5,8,"nucleosome positioning"
"11","GO:0045814",5.61063874293355e-05,8.04848484848485,1.49440619621343,8,23,"negative regulation of gene expression, epigenetic"
"12","GO:0006333",5.69732814915987e-05,5.25691964285714,2.79388984509466,11,43,"chromatin assembly or disassembly"
"13","GO:0097549",7.95681881488922e-05,7.54195804195804,1.55938037865749,8,24,"chromatin organization involved in negative regulation of transcription"
"14","GO:0015739",8.14838833930059e-05,59.1020408163265,0.32487091222031,4,5,"sialic acid transport"
"15","GO:0065004",8.9721366632853e-05,4.94306722689076,2.92383820998279,11,45,"protein-DNA complex assembly"
"16","GO:0016458",0.000248424603741667,4.2992673992674,3.2487091222031,11,50,"gene silencing"
"17","GO:0002583",0.000269219755711207,Inf,0.194922547332186,3,3,"regulation of antigen processing and presentation of peptide antigen"
"18","GO:0002584",0.000269219755711207,Inf,0.194922547332186,3,3,"negative regulation of antigen processing and presentation of peptide antigen"
"19","GO:0002250",0.00056702107347909,3.04324690402477,5.91265060240964,15,91,"adaptive immune response"
"20","GO:0002832",0.000575716268071284,6.16503267973856,1.55938037865749,7,24,"negative regulation of response to biotic stimulus"
"21","GO:0034401",0.000576736118075517,5.22955305564001,2.01419965576592,8,31,"chromatin organization involved in regulation of transcription"
"22","GO:0045910",0.000591623831532584,10.5968688845401,0.779690189328744,5,12,"negative regulation of DNA recombination"
"23","GO:1905268",0.000911117343570408,6.87533156498674,1.23450946643718,6,19,"negative regulation of chromatin organization"
"24","GO:0002578",0.00102537813032618,44.027027027027,0.259896729776248,3,4,"negative regulation of antigen processing and presentation"
"25","GO:0036295",0.00102537813032618,44.027027027027,0.259896729776248,3,4,"cellular response to increased oxygen levels"
"26","GO:0071824",0.0011162494117196,3.47842261904762,3.83347676419966,11,59,"protein-DNA complex subunit organization"
"27","GO:0071103",0.00129143490711052,3.40583090379009,3.89845094664372,11,60,"DNA conformation change"
"28","GO:0045815",0.00212834238214525,5.57844827586207,1.42943201376936,6,22,"positive regulation of gene expression, epigenetic"
"29","GO:0002577",0.00244121950072595,22.0033783783784,0.32487091222031,3,5,"regulation of antigen processing and presentation"
"30","GO:0002253",0.00269758013308224,2.45688888888889,7.53700516351119,16,116,"activation of immune response"
"31","GO:0051053",0.0027274021365163,5.24787018255578,1.49440619621343,6,23,"negative regulation of DNA metabolic process"
"32","GO:0045892",0.00334492718634608,1.90558465410516,17.5430292598967,29,270,"negative regulation of transcription, DNA-templated"
"33","GO:0050776",0.00349441705245196,1.99017001047458,14.4242685025818,25,222,"regulation of immune response"
"34","GO:0050778",0.00392293422522549,2.13529876283232,10.7207401032702,20,165,"positive regulation of immune response"
"35","GO:0050830",0.00394456553029461,8.4198250728863,0.714716006884682,4,11,"defense response to Gram-positive bacterium"
